"Line Probe: Direction [1,0,0] (cm)","Line Probe: Temperature (K)"
234.26986799999997,882.7320334377575
234.51189599999998,883.0575736249581
234.75392399999996,882.9732879342615
234.99595199999996,882.9018005288266
235.23797999999996,879.9570482907909
235.48000799999994,883.8317558312993
235.72203599999997,883.9618903992985
235.96406399999998,884.1250949791837
236.20609199999998,884.2215349593357
236.44811999999996,872.3707300800534
236.69014799999997,870.4756780226213
236.932176,870.4278343314021
237.174204,870.2204830324775
237.41623199999998,870.1171851826061
237.65825999999998,870.0151499108113
237.900288,870.2774786645333
238.14231599999997,869.8086824307546
238.38434399999997,869.3347210373189
238.62637199999995,867.9983125678086
238.86839999999995,868.1019461382028
239.11042799999998,868.411324443659
239.352456,867.4086755561074
239.594484,866.7495430909664
239.83651199999997,866.3059109045463
240.07853999999998,868.1287945653759
240.32056799999995,870.2507307556332
240.562596,870.9747100425595
240.804624,871.2973563194242
241.046652,872.2014155805228
241.28867999999997,886.6136543083002
241.53070799999998,888.0265453332751
241.77273599999998,888.1782419171027
242.01476399999996,888.5317309065704
242.25679199999996,888.2687123143629
242.49881999999997,885.821272203817
242.740848,870.9750348566624
242.98287599999998,871.3536662977981
243.22490399999998,871.7460614282733
243.46693199999999,872.6294462427435
243.70895999999996,873.6083965321648
243.950988,874.1218431204436
244.193016,874.5399713279314
244.435044,874.7084810669702
244.67707199999998,874.85528994437
244.9191,874.9326862123363
245.161128,875.4456225383258
245.40315599999997,875.3909002497704
245.64518399999997,875.3727486022608
245.88721199999995,875.6481527005021
246.12924,893.5631193615444
246.371268,913.6564339336273
246.613296,919.3584949943738
246.855324,921.5122539315416
247.09735199999997,922.3770233346844
247.33937999999998,917.846932144478
247.581408,881.0913625777318
247.82343600000002,878.2285699664152
248.065464,877.6701549961848
248.307492,875.7450667800972
248.54951999999997,873.3066842511603
248.79154799999998,870.176592506704
249.03357599999998,868.4171948262386
249.27560399999996,867.8688568851994
258.714696,868.5772189127068
258.956724,868.2002003791675
259.198752,868.2716699958149
259.44077999999996,867.480978677744
259.68280799999997,859.4004747590328
259.92483599999997,859.5854301444854
260.166864,860.6028070284075
260.408892,861.1407469377252
260.65092,861.3817394660387
260.892948,861.2016257308103
261.134976,861.7610175901467
261.377004,862.5168652811386
261.619032,867.1169233593139
261.86105999999995,883.0656914481633
262.10308799999996,910.7225621114002
262.345116,916.9988178302025
262.587144,917.4466279012124
262.82917199999997,916.8483094206314
263.0712,883.0080025465136
263.313228,868.7381316968
263.555256,865.8191319585865
263.797284,865.2098023337612
264.03931199999994,864.9375768905019
264.28133999999994,865.0043728076109
264.523368,866.6979954631543
264.76539599999995,866.7987844645218
265.00742399999996,866.8754089182884
265.24945199999996,867.4238170548508
265.49147999999997,868.547203974536
249.51763199999996,867.7495752874557
249.75965999999997,879.0094529842423
250.00168799999994,882.4566963413355
250.24371599999998,883.1671459290811
250.48574399999998,883.9584923887787
250.727772,885.8862985173903
250.96979999999996,904.322337156526
251.21182799999997,946.1668532852733
251.45385599999997,946.6627046994273
251.695884,946.558925019461
251.93791199999998,943.3822907702931
252.17994,913.8157680603993
252.421968,870.939041045284
252.66399599999997,865.5617532911555
252.90602399999997,865.1224331458953
253.14805199999995,864.172642171388
253.39007999999995,864.4267843117337
253.63210799999996,863.8420836795359
253.874136,862.9930642253221
254.116164,862.5244917922361
254.35819199999997,862.0019859569724
254.60021999999998,860.128158100046
254.84224799999996,859.4895093360127
255.08427600000002,859.2220571582684
255.326304,859.0513944247431
255.568332,859.1718614617845
255.81035999999997,860.2370591171
256.052388,865.7368158328838
256.29441599999996,866.063305053702
256.53644399999996,866.3623850009765
256.77847199999997,866.8340082326837
257.02049999999997,868.2256112950255
257.262528,870.432517408247
257.504556,869.7147974913311
257.746584,869.1681363096294
257.988612,868.6928894094075
258.23064,869.1184297931584
258.47266799999994,868.920084237154
210.551124,858.6908315199386
210.79315199999996,859.3345178496871
211.03517999999997,868.6722193588403
211.277208,870.3698475358274
211.519236,870.8563336953192
211.76126399999998,871.866482662644
212.003292,872.623421778734
212.24531999999996,872.5245466208456
212.48734799999997,872.746812079689
212.72937599999997,872.2286869012615
212.97140399999995,871.7701002811905
213.213432,870.5924349318573
213.45546,869.315440199191
213.697488,861.8604969109963
213.93951599999997,860.5310210987121
214.18154399999997,860.1868397906236
214.42357199999998,860.0002051572094
214.6656,859.6489097037582
214.907628,859.9566497611049
215.149656,860.032120783266
215.391684,860.3304774841449
215.63371199999997,860.5448431596501
215.87573999999998,860.6020654932632
216.11776799999998,861.8717399565796
216.35979599999996,861.8918641196994
216.60182399999997,861.9129416182672
216.84385199999994,862.0040927944468
217.08588,861.5296878075387
217.32790799999998,858.697542474086
217.56993599999998,858.8719289252261
217.811964,859.0261143523434
203.53231199999996,856.2620256778464
203.77434,857.486240652771
204.016368,869.9378058505854
204.258396,869.8833219333286
204.50042399999998,869.7022431694173
204.742452,869.0058696057796
204.98447999999996,864.5790317732684
205.22650799999997,854.9610334494921
205.46853599999997,854.8390987118277
205.71056399999995,855.329559946232
205.952592,855.7161901419503
206.19462,860.5351106974579
206.436648,860.8287657515422
206.67867599999997,860.8375121282792
206.92070399999997,860.7469338769783
207.16273199999998,860.860833216968
207.40476,868.8686579770375
207.646788,886.5054776015928
207.888816,886.28486849649
208.130844,885.9947142370186
208.37287199999997,885.9958525043493
208.61489999999998,885.6069584630186
208.85692799999998,871.559961656837
209.09895599999996,871.8791903006761
209.34098399999996,872.0309388932524
209.583012,872.048848767591
209.82504,863.6189718874529
210.06706799999998,859.0487096066537
210.30909599999998,858.3489287057201
218.05399199999997,859.5843500572698
218.29601999999997,861.683446232647
218.538048,867.8142551666551
218.780076,868.3408731647929
219.02210399999998,868.3750115127784
219.264132,868.4428464761562
219.50615999999997,878.3277561201935
219.74818799999997,880.3670676344674
219.99021599999998,880.564507783058
220.23224399999995,881.1299006162598
220.47427199999996,883.1321025938479
220.7163,903.502908895715
220.958328,960.1041644218856
221.20035599999997,960.9571364681786
221.44238399999998,960.9388152692856
221.68441199999998,955.0059159182617
221.92644,926.1632415558206
222.168468,877.543166886477
222.410496,867.7416376451769
222.652524,867.3944686453002
222.89455199999998,866.9240967834797
223.13657999999998,862.700678204419
223.37860799999999,861.5093627375908
223.62063599999996,861.2525795494824
223.86266399999997,861.1747899044615
224.10469199999994,861.339322281968
224.34672,867.0253370470632
224.58874799999998,867.9133786064361
224.830776,868.4441320601159
225.072804,869.4858453967944
225.31483199999997,869.6492065951276
225.55685999999997,869.922165732123
225.798888,869.3296415032125
226.040916,868.7393353163063
226.282944,868.1739599500933
226.524972,867.7088327043604
226.76699999999997,870.7949175196998
227.00902799999997,878.177064675149
227.25105599999998,879.4970558698583
227.49308399999995,879.4312596241487
227.73511199999996,879.5948242071795
227.97714,880.6508815541873
228.219168,881.8928129530759
228.46119599999997,882.4285631872125
228.70322399999998,883.5958722332795
228.94525199999998,884.1705418276177
229.18727999999996,883.5528686607686
229.429308,869.5241499607579
229.671336,869.0292836425948
229.913364,869.2658194330287
230.15539199999998,869.6895546726668
230.39741999999998,869.2734668043058
230.639448,866.6005393896905
230.88147599999996,866.3552469804266
231.12350399999997,866.4424752244895
231.36553199999994,866.8130468125663
231.60756,875.2203605368018
231.84958799999998,879.1509350338794
232.091616,880.1991972954114
232.333644,880.1659633004022
232.57567199999997,880.1084263999996
232.8177,871.2597177210158
233.059728,870.4599634568079
233.301756,870.4919814098325
233.543784,870.7378028994199
233.785812,871.0580500310131
234.02783999999997,873.6701963385328
282.19141199999996,861.8575623790363
282.43343999999996,861.2785344211359
282.67546799999997,860.7093070187382
282.91749599999997,860.3057135813312
283.1595239999999,859.8927979021786
283.401552,858.9768943621398
283.64358,858.6936853716891
283.885608,858.4790416655243
284.12763599999994,857.4920661086256
284.369664,856.9413135188257
284.611692,856.4042075509361
284.85372,860.356653015011
285.095748,861.5843127527887
285.33777599999996,861.5056118988135
285.57980399999997,861.0386521672382
285.821832,860.535779865367
286.06386,856.6602086761673
286.305888,835.5509412285461
286.54791599999993,835.2995520174758
286.78994399999993,835.3012741987807
287.031972,835.4037375313073
287.274,835.4998306900762
265.733508,866.5172956709553
265.975536,866.4273682824643
266.217564,866.1129150788894
266.459592,865.6957704881322
266.70162,870.6826036515095
266.943648,872.1745182318223
267.185676,871.9911608045066
267.42770399999995,871.3979362324175
267.66973199999995,871.0518879464786
267.91175999999996,863.6450308933439
268.15378799999996,860.1565867562828
268.39581599999997,859.258397199149
268.637844,858.7608136841933
268.879872,858.576675982319
269.1219,860.0186974470516
269.363928,873.960661723106
269.605956,873.7010666924731
269.847984,873.3134979165579
270.090012,872.6542203704802
270.33204,870.9899580264473
270.574068,857.3793917267965
270.81609599999996,857.1918344544043
271.05812399999996,857.3643401856358
271.30015199999997,857.64871228648
271.54218,856.2451886312698
271.784208,856.4982906027789
272.0262359999999,856.7270568053552
272.268264,856.9327598990988
272.510292,857.394538263621
272.75232,859.9560455650511
272.99434799999995,866.3521372746571
273.236376,866.5217295625702
273.478404,866.5062877642462
273.720432,865.9047446485702
273.96245999999996,863.1449143999663
274.20448799999997,861.215947080164
274.446516,860.3302141693182
274.688544,860.6663106633949
274.930572,861.857130562031
275.1726,868.65631873363
275.41462799999994,873.3118387659013
275.65665599999994,873.7583155646173
275.898684,873.800544486663
276.140712,873.8276635234945
276.38273999999996,883.2604739343209
276.624768,886.5612889301914
276.866796,886.5608205956692
277.108824,886.9069129551203
277.350852,887.0052192284768
277.59288,884.3104260249984
277.834908,879.1607235126636
278.076936,878.6670269328723
278.318964,877.9660785848113
278.56099199999994,876.6575454051434
278.80301999999995,872.7045152369948
279.04504799999995,857.5868102604217
279.287076,856.2616054010393
279.52910399999996,856.5435776649937
279.77113199999997,857.026601502597
280.01315999999997,864.6813031516491
280.255188,869.4094895349988
280.497216,870.969955471733
280.739244,872.0968278113081
280.981272,872.416335357158
281.2233,871.9472328617641
281.465328,865.5078657987307
281.707356,864.7012732006503
281.94938399999995,862.7373598243865
177.39328799999998,847.4532048591086
177.63531599999996,847.932272041687
177.877344,848.4709955283487
178.11937199999997,849.494020701213
178.36139999999997,850.1587976664101
178.60342799999998,853.9501713963797
178.84545599999998,855.4758907044846
179.087484,856.1053734794046
179.32951199999997,856.7963204698096
179.57153999999997,871.289017681883
179.81356799999998,873.85502748459
180.05559599999998,874.248994978322
180.29762399999998,874.4417608578539
180.539652,874.7458454642546
180.78168,876.5616029559789
181.02370799999997,881.9040482138361
181.26573599999998,882.8622032777754
181.50776399999998,882.9045798024787
181.74979199999999,881.2946990079661
181.99182,871.0443200072522
182.233848,852.9659317956751
182.475876,852.2818362226775
182.71790399999998,852.0474156855565
182.95993199999998,851.6925119387181
183.20195999999996,852.6863614223854
183.443988,855.0568121928806
183.686016,854.8932246181486
183.92804399999997,854.6816724356046
184.170072,854.5012585565498
184.41209999999998,861.7222386089006
184.654128,864.5858522357316
184.89615599999996,864.861818407793
185.138184,864.4324663106988
185.38021199999997,864.2527716874176
170.37447599999996,850.616657627327
170.616504,851.010977158601
170.85853199999997,851.3205848590549
171.10055999999997,847.4422409022525
171.34258799999998,847.3654682381027
171.58461599999998,847.5562094091194
171.826644,847.7444388419224
172.06867199999996,847.7311750034705
172.3107,848.1811145409557
172.55272799999997,853.9834487177799
172.79475599999998,854.0069111471972
173.03678399999998,853.8036328291855
173.278812,853.5673500262634
173.52084,853.9822359156746
173.76286799999997,857.7647934262571
174.00489599999997,857.5902352084188
174.24692399999998,857.468642223967
174.48895199999998,856.5684417955657
174.73098,852.8412919347205
174.973008,847.7202742017835
175.215036,847.1697950324904
175.45706399999997,847.0707258348676
175.69909199999998,847.0098351316361
175.94111999999998,848.2686337871918
176.183148,848.696691837593
176.425176,848.8664185552218
176.66720399999997,849.3148814820465
176.909232,849.5988520752451
177.15125999999998,849.4700258214216
185.62223999999998,861.7964828531694
185.86426799999998,856.1381528983649
186.106296,856.272846749351
186.348324,856.4451046806826
186.59035199999997,856.8575151247358
186.83237999999997,856.8035189061809
187.07440799999998,857.4498851100154
187.31643599999998,857.6907646081702
187.558464,857.7727411002367
