"Radial: Direction [0,1,0] (cm)","Radial: Density (kg/m^3)"
0.0,6.248751351281965E-4
0.06999999999999999,6.245856053949823E-4
0.13999999999999999,6.245856053949823E-4
0.21000000000000002,6.264627946203551E-4
0.27999999999999997,6.264627946203551E-4
0.35,6.283399654312717E-4
0.42000000000000004,6.283399654312717E-4
0.49000000000000005,6.270854758391302E-4
0.5599999999999999,6.270854758391302E-4
0.63,6.270854758391302E-4
0.7,6.266965023202809E-4
0.77,6.266965023202809E-4
0.8400000000000001,6.266965023202809E-4
0.91,6.235690689981636E-4
0.9800000000000001,6.235690689981636E-4
1.05,6.199814615829508E-4
1.1199999999999999,6.199814615829508E-4
1.1900000000000002,6.199814615829508E-4
1.26,6.182510489817571E-4
1.33,6.182510489817571E-4
1.4,6.225578970091613E-4
1.47,6.225578970091613E-4
1.54,6.456020558909447E-4
1.6100000000000003,6.456020558909447E-4
1.6800000000000002,6.456020558909447E-4
1.7500000000000002,7.163546994841596E-4
1.82,7.163546994841596E-4
1.89,8.842545913945437E-4
1.9600000000000002,8.842545913945437E-4
2.0300000000000002,0.0016520804583842837
