"Radial: Direction [0,1,0] (cm)","Radial: Density (kg/m^3)"
0.0,0.0014111261432790832
0.06999999999999999,0.00140856259020007
0.13999999999999999,0.00140856259020007
0.21000000000000002,0.001408219365871487
0.27999999999999997,0.001408219365871487
0.35,0.001407209885372068
0.42000000000000004,0.001407209885372068
0.49000000000000005,0.00140299311568083
0.5599999999999999,0.00140299311568083
0.63,0.00140299311568083
0.7,0.0013978071365590876
0.77,0.0013978071365590876
0.8400000000000001,0.0013978071365590876
0.91,0.0013911507417431698
0.9800000000000001,0.0013911507417431698
1.05,0.0013806944605403927
1.1199999999999999,0.0013806944605403927
1.1900000000000002,0.0013806944605403927
1.26,0.001369883455751671
1.33,0.001369883455751671
1.4,0.0013658537699861547
1.47,0.0013658537699861547
1.54,0.0013746024443140052
1.6100000000000003,0.0013746024443140052
1.6800000000000002,0.0013746024443140052
1.7500000000000002,0.0014379182120984233
1.82,0.0014379182120984233
1.89,0.0016242337288075376
1.9600000000000002,0.0016242337288075376
2.0300000000000002,0.0036189900886301712
