"Radial: Direction [0,1,0] (cm)","Radial: Temperature (K)"
0.0,1712.8331664038046
0.06999999999999999,1713.758388736821
0.13999999999999999,1713.758388736821
0.21000000000000002,1713.837733142901
0.27999999999999997,1713.837733142901
0.35,1714.380726525879
0.42000000000000004,1714.380726525879
0.49000000000000005,1716.539758363167
0.5599999999999999,1716.539758363167
0.63,1716.539758363167
0.7,1719.9417970556424
0.77,1719.9417970556424
0.8400000000000001,1719.9417970556424
0.91,1723.9458899981687
0.9800000000000001,1723.9458899981687
1.05,1732.2686841012965
1.1199999999999999,1732.2686841012965
1.1900000000000002,1732.2686841012965
1.26,1742.4236784808788
1.33,1742.4236784808788
1.4,1748.8524134092102
1.47,1748.8524134092102
1.54,1738.8531271206418
1.6100000000000003,1738.8531271206418
1.6800000000000002,1738.8531271206418
1.7500000000000002,1670.1013196696076
1.82,1670.1013196696076
1.89,1483.6495032920066
1.9600000000000002,1483.6495032920066
2.0300000000000002,672.30010695831
