"Radial: Direction [0,1,0] (cm)","Radial: Density (kg/m^3)"
0.0,0.013548573981438048
0.06999999999999999,0.013263083392282968
0.13999999999999999,0.013263083392282968
0.21000000000000002,0.01262988445289426
0.27999999999999997,0.01262988445289426
0.35,0.011688616823628751
0.42000000000000004,0.011688616823628751
0.49000000000000005,0.010458227665600861
0.5599999999999999,0.010458227665600861
0.63,0.010458227665600861
0.7,0.008368300594432197
0.77,0.008368300594432197
0.8400000000000001,0.008368300594432197
0.91,0.0065698819057411215
0.9800000000000001,0.0065698819057411215
1.05,0.004955582041123051
1.1199999999999999,0.004955582041123051
1.1900000000000002,0.004955582041123051
1.26,0.00379851226320004
1.33,0.00379851226320004
1.4,0.003103556897280531
1.47,0.003103556897280531
1.54,0.0025313241874747585
1.6100000000000003,0.0025313241874747585
1.6800000000000002,0.0025313241874747585
1.7500000000000002,0.0021982189367108222
1.82,0.0021982189367108222
1.89,0.002056397478179103
1.9600000000000002,0.002056397478179103
2.0300000000000002,0.003731207918717472
