"Radial: Direction [0,1,0] (cm)","Radial: Temperature (K)"
0.0,895.3833237247279
0.06999999999999999,895.236412411655
0.13999999999999999,895.236412411655
0.21000000000000002,894.434050575107
0.27999999999999997,894.434050575107
0.35,890.9246176690939
0.42000000000000004,890.9246176690939
0.49000000000000005,880.0481504776606
0.5599999999999999,880.0481504776606
0.63,880.0481504776606
0.7,877.9981426714206
0.77,877.9981426714206
0.8400000000000001,877.9981426714206
0.91,882.8680617161539
0.9800000000000001,882.8680617161539
1.05,885.640738330173
1.1199999999999999,885.640738330173
1.1900000000000002,885.640738330173
1.26,889.7463669755404
1.33,889.7463669755404
1.4,890.5744362338392
1.47,890.5744362338392
1.54,883.8489012038864
1.6100000000000003,883.8489012038864
1.6800000000000002,883.8489012038864
1.7500000000000002,846.5832771529213
1.82,846.5832771529213
1.89,738.8227794952576
1.9600000000000002,738.8227794952576
2.0300000000000002,384.66160972856795
