"Radial: Direction [0,1,0] (cm)","Radial: Density (kg/m^3)"
0.0,6.20768944545647E-4
0.06999999999999999,6.196467885567975E-4
0.13999999999999999,6.196467885567975E-4
0.21000000000000002,6.218173266040489E-4
0.27999999999999997,6.218173266040489E-4
0.35,6.234898943537653E-4
0.42000000000000004,6.234898943537653E-4
0.49000000000000005,6.223718366869352E-4
0.5599999999999999,6.223718366869352E-4
0.63,6.223718366869352E-4
0.7,6.217110630869761E-4
0.77,6.217110630869761E-4
0.8400000000000001,6.217110630869761E-4
0.91,6.184535139372348E-4
0.9800000000000001,6.184535139372348E-4
1.05,6.143428738181847E-4
1.1199999999999999,6.143428738181847E-4
1.1900000000000002,6.143428738181847E-4
1.26,6.102837940381851E-4
1.33,6.102837940381851E-4
1.4,6.162381232500657E-4
1.47,6.162381232500657E-4
1.54,6.437833072840683E-4
1.6100000000000003,6.437833072840683E-4
1.6800000000000002,6.437833072840683E-4
1.7500000000000002,7.230154997065992E-4
1.82,7.230154997065992E-4
1.89,8.990783175262106E-4
1.9600000000000002,8.990783175262106E-4
2.0300000000000002,0.0016783157827156036
