"Line Probe: Direction [1,0,0] (cm)","Line Probe: Density (kg/m^3)"
234.26986799999997,6.360501329433038E-4
234.51189599999998,6.352841257268561E-4
234.75392399999996,6.351560747673643E-4
234.99595199999996,6.352203751633228E-4
235.23797999999996,6.356973297357632E-4
235.48000799999994,6.355363118283549E-4
235.72203599999997,6.358567744212975E-4
235.96406399999998,6.357321226156164E-4
236.20609199999998,6.358835305498243E-4
236.44811999999996,6.348735708115088E-4
236.69014799999997,6.354074050895328E-4
236.932176,6.356726853663879E-4
237.174204,6.355310674469874E-4
237.41623199999998,6.354704261934385E-4
237.65825999999998,6.353594596633717E-4
237.900288,6.362754726498905E-4
238.14231599999997,6.363406406736564E-4
238.38434399999997,6.363490284809103E-4
238.62637199999995,6.354978957143028E-4
238.86839999999995,6.342700930578593E-4
239.11042799999998,6.313613062122062E-4
239.352456,6.306960248810477E-4
239.594484,6.302252803161907E-4
239.83651199999997,6.282216860913624E-4
240.07853999999998,6.259989932290128E-4
240.32056799999995,6.247436903920049E-4
240.562596,6.233362460975512E-4
240.804624,6.230348538736758E-4
241.046652,6.226492518225116E-4
241.28867999999997,6.300046939897823E-4
241.53070799999998,6.312937250200994E-4
241.77273599999998,6.312129689501584E-4
242.01476399999996,6.310923777616559E-4
242.25679199999996,6.314733649178093E-4
242.49881999999997,6.314784907467266E-4
242.740848,6.287574507776667E-4
242.98287599999998,6.28917877997852E-4
243.22490399999998,6.28955615786351E-4
243.46693199999999,6.297850555021817E-4
243.70895999999996,6.328867318452585E-4
243.950988,6.359758281236544E-4
244.193016,6.380350180940107E-4
244.435044,6.383314059090226E-4
244.67707199999998,6.385375161378906E-4
244.9191,6.385918680743402E-4
245.161128,6.368508749477542E-4
245.40315599999997,6.368322501537403E-4
245.64518399999997,6.370130528843846E-4
245.88721199999995,6.362294517573556E-4
246.12924,6.252509798693691E-4
246.371268,6.170421236800859E-4
246.613296,6.125968924408582E-4
246.855324,6.111187443236556E-4
247.09735199999997,6.122493683526378E-4
247.33937999999998,6.168944202694398E-4
247.581408,6.35453887148275E-4
247.82343600000002,6.396433730838362E-4
248.065464,6.408615161069147E-4
248.307492,6.409715424534558E-4
248.54951999999997,6.400452954077541E-4
248.79154799999998,6.403154457180813E-4
249.03357599999998,6.40045732719752E-4
249.27560399999996,6.39887412697008E-4
258.714696,6.350141232281481E-4
258.956724,6.35049589448329E-4
259.198752,6.350826974400465E-4
259.44077999999996,6.355699302529116E-4
259.68280799999997,6.381265970540794E-4
259.92483599999997,6.377506836651328E-4
260.166864,6.364242553089445E-4
260.408892,6.362274819850327E-4
260.65092,6.362497855994661E-4
260.892948,6.342817162638664E-4
261.134976,6.349133648538128E-4
261.377004,6.347613774905572E-4
261.619032,6.318473425844701E-4
261.86105999999995,6.27114559218151E-4
262.10308799999996,6.196658920635493E-4
262.345116,6.097462203194701E-4
262.587144,6.089828580137977E-4
262.82917199999997,6.092915299245376E-4
263.0712,6.195764298768823E-4
263.313228,6.26399606994351E-4
263.555256,6.341978666571866E-4
263.797284,6.382217374699411E-4
264.03931199999994,6.381163677521577E-4
264.28133999999994,6.382189368444306E-4
264.523368,6.406812794534656E-4
264.76539599999995,6.407172128083955E-4
265.00742399999996,6.406160318873559E-4
265.24945199999996,6.406668594917097E-4
265.49147999999997,6.409881838673824E-4
249.51763199999996,6.391947814573252E-4
249.75965999999997,6.342832587734474E-4
250.00168799999994,6.329357214781878E-4
250.24371599999998,6.317919000833913E-4
250.48574399999998,6.305039106263314E-4
250.727772,6.282554497809635E-4
250.96979999999996,6.207801546234411E-4
251.21182799999997,6.01754578190392E-4
251.45385599999997,5.9776374818966E-4
251.695884,5.970416636478092E-4
251.93791199999998,6.010683536109343E-4
252.17994,6.092503721005637E-4
252.421968,6.176168296052713E-4
252.66399599999997,6.330500107752779E-4
252.90602399999997,6.343957133441755E-4
253.14805199999995,6.351312636608892E-4
253.39007999999995,6.340679616566571E-4
