"Line Probe: Direction [1,0,0] (cm)","Line Probe: Absolute Pressure (Pa)"
234.26986799999997,1641.5511241193308
234.51189599999998,1641.6858598902036
234.75392399999996,1641.9463459994731
234.99595199999996,1642.9851531997556
235.23797999999996,1643.6713497710298
235.48000799999994,1644.3590884976438
235.72203599999997,1645.4825977215223
235.96406399999998,1645.9842292602552
236.20609199999998,1646.585327424109
236.44811999999996,1648.4703552210267
236.69014799999997,1649.89162736437
236.932176,1651.5312119928276
237.174204,1654.682695580239
237.41623199999998,1655.8665972073795
237.65825999999998,1656.956411330204
237.900288,1657.7356452905515
238.14231599999997,1657.5721670926578
238.38434399999997,1657.1641540665296
238.62637199999995,1655.2047937215684
238.86839999999995,1653.7297374706832
239.11042799999998,1650.8905637573043
239.352456,1649.6590119945467
239.594484,1648.74306496387
239.83651199999997,1647.1731613586162
240.07853999999998,1646.7282126183127
240.32056799999995,1646.4747559375246
240.562596,1646.4343053827033
240.804624,1646.4988780673884
241.046652,1646.6866341131827
241.28867999999997,1647.3874690147786
241.53070799999998,1647.8527503255755
241.77273599999998,1648.4235527858837
242.01476399999996,1649.3779907412245
242.25679199999996,1649.5673035243672
242.49881999999997,1649.5964944980951
242.740848,1649.326842373921
242.98287599999998,1648.879681048158
243.22490399999998,1648.2437754428975
243.46693199999999,1646.3648359458748
243.70895999999996,1645.5516054454492
243.950988,1644.8729544683301
244.193016,1643.75376773467
244.435044,1643.400670447707
244.67707199999998,1643.2332317824184
244.9191,1643.4258417525416
245.161128,1643.7473693883076
245.40315599999997,1643.8638232806697
245.64518399999997,1643.81364244032
245.88721199999995,1643.505826984794
246.12924,1642.231446665508
246.371268,1641.4045037100295
246.613296,1640.5850197800319
246.855324,1639.3998613803124
247.09735199999997,1639.095546638695
247.33937999999998,1639.0220230830164
247.581408,1639.5979606513138
247.82343600000002,1640.5485885281523
248.065464,1641.9384261357482
248.307492,1645.792562568633
248.54951999999997,1647.6205755847768
248.79154799999998,1649.5386916570715
249.03357599999998,1654.8470129004563
249.27560399999996,1657.655248688825
258.714696,1636.7943513743667
258.956724,1634.8661717274954
259.198752,1634.0894330058509
259.44077999999996,1633.6210365160223
259.68280799999997,1632.9765555195627
259.92483599999997,1632.943379297867
260.166864,1633.3214298437524
260.408892,1633.7061837122164
260.65092,1634.2475950578664
260.892948,1635.7577836681885
261.134976,1636.8056593686051
261.377004,1638.485696717209
261.619032,1642.3126612247142
261.86105999999995,1644.5167240672454
262.10308799999996,1647.203571656486
262.345116,1652.4771475487796
262.587144,1654.9887311414932
262.82917199999997,1657.1407817686122
263.0712,1659.5608702775062
263.313228,1660.0077915424336
263.555256,1660.1569395057595
263.797284,1658.3824837690336
264.03931199999994,1656.1059217959846
264.28133999999994,1653.786971320631
264.523368,1647.8023459156393
264.76539599999995,1644.481707086161
265.00742399999996,1641.2543174204766
265.24945199999996,1635.1927953052655
265.49147999999997,1633.2542706240783
249.51763199999996,1660.4329120021284
249.75965999999997,1665.1650350000273
250.00168799999994,1666.9021373403812
250.24371599999998,1668.7755812624673
250.48574399999998,1670.9327864165534
250.727772,1671.1275436391443
250.96979999999996,1670.7829646097816
251.21182799999997,1668.3910036701272
251.45385599999997,1666.299300559971
251.695884,1663.2549597831094
251.93791199999998,1655.6741689484625
252.17994,1651.3821541820362
252.421968,1647.3484343685705
252.66399599999997,1640.4436895606486
252.90602399999997,1637.659608033442
253.14805199999995,1634.4318301415478
253.39007999999995,1633.9407139052346
253.63210799999996,1634.1577918857947
253.874136,1636.4934168633336
254.116164,1638.28664892682
254.35819199999997,1640.2033511465997
254.60021999999998,1644.4525616459723
254.84224799999996,1646.283314113287
255.08427600000002,1647.8033360777772
255.326304,1649.2406599569076
255.568332,1649.287309788153
255.81035999999997,1648.853651082245
256.052388,1646.732965124902
256.29441599999996,1645.369167809753
256.53644399999996,1643.8838945625466
256.77847199999997,1641.6450590504974
257.02049999999997,1640.5888529224321
257.262528,1639.9046432245086
257.504556,1639.2194456252182
257.746584,1639.1277499793941
257.988612,1639.0830135615251
258.23064,1638.4631965602894
258.47266799999994,1637.7306216187135
210.551124,1642.7481792108156
210.79315199999996,1643.5751243856648
211.03517999999997,1644.5011547829781
211.277208,1644.70635836781
211.519236,1644.8745204093284
211.76126399999998,1645.3680374917894
212.003292,1646.03374116942
212.24531999999996,1647.123357210192
212.48734799999997,1650.3567239160184
212.72937599999997,1652.3517877259437
212.97140399999995,1654.278527587754
213.213432,1657.0966026939714
213.45546,1658.154956944083
213.697488,1658.843504831675
213.93951599999997,1659.105038255453
214.18154399999997,1658.6434531039267
214.42357199999998,1657.9175933919032
214.6656,1655.615299785859
214.907628,1653.919760354227
215.149656,1652.3026939732226
215.391684,1648.4643886293052
215.63371199999997,1646.4316136799316
215.87573999999998,1644.8205031136022
216.11776799999998,1642.3052185426059
216.35979599999996,1641.6421980450832
216.60182399999997,1641.3133386040427
216.84385199999994,1641.000710670036
217.08588,1640.7632137554174
217.32790799999998,1639.6420779361506
217.56993599999998,1638.5318444629957
217.811964,1637.200887502433
203.53231199999996,1618.0690471792477
203.77434,1618.252908357841
204.016368,1618.9888219760905
204.258396,1619.5111925240344
204.50042399999998,1620.1327593734313
204.742452,1621.7118316889391
204.98447999999996,1622.3863810684998
205.22650799999997,1623.0828396736906
205.46853599999997,1624.3988392956526
205.71056399999995,1625.0620782486658
205.952592,1625.5511947309715
206.19462,1626.1358178822557
206.436648,1626.2112356487778
206.67867599999997,1626.1721587108623
206.92070399999997,1626.0172092565044
207.16273199999998,1625.9901388260623
207.40476,1626.0611883403326
207.646788,1626.421260393312
207.888816,1626.6967963466886
208.130844,1626.9772930506879
208.37287199999997,1627.829622352161
208.61489999999998,1628.0998811655445
208.85692799999998,1628.5338727972703
209.09895599999996,1630.170989382037
209.34098399999996,1631.2787053314678
209.583012,1632.5689924486796
209.82504,1635.5955623327754
210.06706799999998,1637.4410145361617
210.30909599999998,1641.1563973406883
218.05399199999997,1634.4262952998397
218.29601999999997,1633.2356610847492
218.538048,1632.1190995704528
218.780076,1630.5888804037386
219.02210399999998,1630.2006647712114
219.264132,1630.123359734076
219.50615999999997,1630.8807755755115
219.74818799999997,1631.5418507030117
219.99021599999998,1632.5975117311027
220.23224399999995,1635.1531044741569
220.47427199999996,1636.6308640988864
220.7163,1638.462203930525
220.958328,1642.578563731513
221.20035599999997,1644.5582853942906
221.44238399999998,1646.4384147129458
221.68441199999998,1649.7321834455797
221.92644,1650.8003482134227
222.168468,1651.4881527511752
