"Radial: Direction [0,1,0] (cm)","Radial: Density (kg/m^3)"
0.0,6.828538590869444E-4
0.06999999999999999,6.840702636828945E-4
0.13999999999999999,6.840702636828945E-4
0.21000000000000002,6.854475976019782E-4
0.27999999999999997,6.854475976019782E-4
0.35,6.878766299634335E-4
0.42000000000000004,6.878766299634335E-4
0.49000000000000005,6.919575268876316E-4
0.5599999999999999,6.919575268876316E-4
0.63,6.919575268876316E-4
0.7,6.971350247306769E-4
0.77,6.971350247306769E-4
0.8400000000000001,6.971350247306769E-4
0.91,7.008861717583227E-4
0.9800000000000001,7.008861717583227E-4
1.05,7.043480056520363E-4
1.1199999999999999,7.043480056520363E-4
1.1900000000000002,7.043480056520363E-4
1.26,7.06324130948E-4
1.33,7.06324130948E-4
1.4,7.06927090913665E-4
1.47,7.06927090913665E-4
1.54,7.076025311896599E-4
1.6100000000000003,7.076025311896599E-4
1.6800000000000002,7.076025311896599E-4
1.7500000000000002,7.080528965994844E-4
1.82,7.080528965994844E-4
1.89,7.137368418664198E-4
1.9600000000000002,7.137368418664198E-4
2.0300000000000002,0.0011721083289797588
