"Radial: Direction [0,1,0] (cm)","Radial: Density (kg/m^3)"
0.0,6.817791746222298E-4
0.06999999999999999,6.818304795454646E-4
0.13999999999999999,6.818304795454646E-4
0.21000000000000002,6.819938257566155E-4
0.27999999999999997,6.819938257566155E-4
0.35,6.824004359793496E-4
0.42000000000000004,6.824004359793496E-4
0.49000000000000005,6.852501422717757E-4
0.5599999999999999,6.852501422717757E-4
0.63,6.852501422717757E-4
0.7,6.859918520829371E-4
0.77,6.859918520829371E-4
0.8400000000000001,6.859918520829371E-4
0.91,6.870585398204348E-4
0.9800000000000001,6.870585398204348E-4
1.05,6.876283474406768E-4
1.1199999999999999,6.876283474406768E-4
1.1900000000000002,6.876283474406768E-4
1.26,6.870638631827422E-4
1.33,6.870638631827422E-4
1.4,6.872093464137351E-4
1.47,6.872093464137351E-4
1.54,6.87335369098062E-4
1.6100000000000003,6.87335369098062E-4
1.6800000000000002,6.87335369098062E-4
1.7500000000000002,6.855554036143546E-4
1.82,6.855554036143546E-4
1.89,7.267211349347472E-4
1.9600000000000002,7.267211349347472E-4
2.0300000000000002,0.001379215241607936
