"Time","Temperature -TS00 Monitor: Temperature -TS00 Monitor (K)","Temperature -TS01 Monitor: Temperature -TS01 Monitor (K)","Temperature -TS02 Monitor: Temperature -TS02 Monitor (K)","Temperature -TS03 Monitor: Temperature -TS03 Monitor (K)","Temperature -TS04 Monitor: Temperature -TS04 Monitor (K)","Temperature -TS05 Monitor: Temperature -TS05 Monitor (K)"
5.0E-8,873.150000173336,873.2518596995543,873.178659603231,873.1526271175676,873.1660814929184,873.1500000000067
1.0999999999999994E-6,873.1501563914154,874.9883566407997,874.0814529305559,873.2040174924481,874.4488932731232,873.1499999999952
2.1499999999999985E-6,873.1512824656375,876.330360719144,875.3642559645348,873.31520644641,875.9066592259317,873.1500000000636
3.1999999999999973E-6,873.1607026591639,877.60991262443,876.1915077084739,873.6516743002196,877.1580899778637,873.1500000001349
4.25E-6,873.1926985115125,878.9856061821417,876.7589403853053,874.3384629765759,878.1638117904105,873.1500000002321
5.300000000000008E-6,873.2549047826933,880.3952075242271,877.6606675592196,875.3257054521717,878.9135681710809,873.1500000002495
6.3500000000000154E-6,873.3403804134842,881.8791426946192,879.0074369695973,876.5248467147367,879.1187471940312,873.1500000003297
7.400000000000023E-6,873.4345674690824,883.838962576196,880.853825062238,877.9440130818899,879.3774479649039,873.1500000003252
8.450000000000017E-6,873.5071569102802,885.9013590492217,883.2228156853909,879.5328043438287,879.9507408325866,873.1500000004417
9.500000000000007E-6,873.5382555387919,887.4698700364635,885.2608913121566,881.0842617725882,881.0024502996913,873.1500000005241
1.0549999999999997E-5,873.609811382021,887.8806568879536,886.5684076429893,883.2217603674388,883.6237234727919,873.1500000006226
1.1599999999999987E-5,874.313875681352,887.7284747447825,886.74617666866,885.5070909611591,887.288561030438,873.1500000006372
1.2649999999999977E-5,874.8044922738899,887.9112408957792,886.55184523501,887.1436566050736,890.8259695844584,873.1500000007002
1.3699999999999967E-5,874.8215074474442,888.4366293835806,886.7064507528399,888.1636878188139,894.0888348891444,873.150000000779
1.4749999999999957E-5,874.6531943326885,889.2887307072251,887.1770272720631,888.7290361488516,897.1447525349408,873.1500000008509
