Time,TS00,TS01,TS02,TS03,TS04,TS05
0.000000000000000000e+00,1.429790972448503389e-07,1.429782110781907456e-07,1.429789438675417633e-07,1.429790969768152595e-07,1.429828009676275092e-07,1.429790972032349484e-07
1.001900000000115155e-03,6.704701340078880344e-05,4.925496445762498276e-05,3.723948661664040896e-05,2.215293880096357731e-05,1.116944909465261575e-05,1.026225942970992551e-05
2.001649999998723894e-03,8.382582039633771492e-05,1.092560714993749145e-04,1.153919277280029200e-04,1.059504107328763944e-04,1.660316990417810812e-04,6.253343929381697272e-05
3.001400000001458023e-03,2.703757483612590287e-04,2.978284354027498602e-04,2.842342301253831757e-04,2.588550307681686128e-04,2.179229543813641175e-04,7.140703922069804876e-05
4.001150000003369026e-03,4.476770095926735555e-04,3.472631949048256761e-04,3.187699744442425241e-04,2.774669267470703362e-04,2.243407651405615697e-04,7.847119072514783459e-05
5.000099999997436456e-03,6.568931818618711305e-04,3.753644690150163788e-04,3.508276893854225613e-04,3.078996861156256732e-04,2.501230739050075923e-04,1.016355443950244739e-04
5.004999999997407356e-03,6.577045212515580334e-04,3.751556036672652186e-04,3.505321082992692624e-04,3.078414906639165022e-04,2.500472357051753075e-04,1.016862203429162102e-04
