"Time","A. Pressure -TS00 Monitor: A. Pressure -TS00 Monitor (psi)","A. Pressure -TS01 Monitor: A. Pressure -TS01 Monitor (psi)","A. Pressure -TS02 Monitor: A. Pressure -TS02 Monitor (psi)","A. Pressure -TS03 Monitor: A. Pressure -TS03 Monitor (psi)","A. Pressure -TS04 Monitor: A. Pressure -TS04 Monitor (psi)","A. Pressure -TS05 Monitor: A. Pressure -TS05 Monitor (psi)"
0.0046644999999994295,411.0171936172506,411.6191624452648,506.96442653399765,527.4440882886338,534.4228900592121,520.5457392688486
0.004665549999999423,411.00551084984465,411.47426914599015,507.3031211135236,527.5150134633948,534.5739163195901,520.5231521543503
0.004666599999999417,411.0039555621912,411.3130459151259,507.63406632252077,527.5882202426343,534.7325473797911,520.4979425392755
0.004667649999999411,410.99208024907233,411.17881395240187,507.9795335149264,527.6640042522948,534.8889604609949,520.4707444494031
0.004668699999999405,410.96239112129234,411.06377996389034,508.3341334309406,527.7531361852728,535.0432776970387,520.4421519375259
0.004669749999999398,410.91809554248476,410.95983166819246,508.6936822543468,527.8579578030942,535.1942117900131,520.4129999020918
0.004670799999999392,410.8660105165458,410.8868011873052,509.0546232020144,527.9419472101391,535.3412746855976,520.3843100886271
0.004671849999999386,410.8066983476107,410.8039080652897,509.41351896608546,528.0452324053132,535.4711845746066,520.3551931319925
0.00467289999999938,410.7514442263541,410.72705571513245,509.7646559194163,528.1656832685067,535.5869349142724,520.3279205741372
0.004673949999999373,410.7000923855285,410.67046681752913,510.10579705558627,528.2878569439112,535.6900883156295,520.3031180744385
0.004674999999999367,410.6515270161101,410.6437674800252,510.43814502214144,528.4034132202404,535.781551728409,520.2811561757336
0.004676049999999361,410.61015064711773,410.60258453558544,510.80172879144504,528.5480405278737,535.8406929608235,520.2623369129949
0.004677099999999355,410.57578501260326,410.58019468026873,511.1474980123771,528.6812273330481,535.9062314368806,520.2473827024595
0.0046781499999993485,410.53418377517494,410.55957167826335,511.4738484939328,528.8000885436143,535.9732488693453,520.2366508064326
0.004679199999999342,410.4781760592804,410.5300571621508,511.7755418901598,528.9123550226014,536.0323296778815,520.2305217300952
