"Time","A. Pressure -TS00 Monitor: A. Pressure -TS00 Monitor (psi)","A. Pressure -TS01 Monitor: A. Pressure -TS01 Monitor (psi)","A. Pressure -TS02 Monitor: A. Pressure -TS02 Monitor (psi)","A. Pressure -TS03 Monitor: A. Pressure -TS03 Monitor (psi)","A. Pressure -TS04 Monitor: A. Pressure -TS04 Monitor (psi)","A. Pressure -TS05 Monitor: A. Pressure -TS05 Monitor (psi)"
0.004804299999998599,396.3273784185592,401.4933907303621,395.7871812188704,495.0672302350556,512.0009647740077,499.19000476136
0.004805349999998593,396.24339649289703,401.4082314119041,395.66773657608377,495.3817968761931,512.135849029629,499.24793454993545
0.004806399999998587,396.1733686395365,401.3161914465428,395.5504167475079,495.68185242519,512.250726667278,499.3090873460891
0.004807449999998581,396.11740438594046,401.235206165872,395.4249434978721,495.98031383688954,512.3550817350388,499.3739268285105
0.004808499999998574,396.0753069411571,401.1670596086162,395.30868462957494,496.2717435869973,512.4507244172088,499.44218811810634
0.004809549999998568,396.0516261432063,401.10548918672123,395.2109514549878,496.54302534639436,512.5381445296705,499.51312788501514
0.004810599999998562,396.04948073245095,401.06271603978536,395.0902124521892,496.80425155269444,512.6211697238078,499.5865552223963
0.004811649999998556,396.063377821629,400.99981381840615,394.9616369051699,497.0423799336045,512.6863989110832,499.6620249183627
0.004812699999998549,396.10052113262793,400.87811327795464,394.85026926151954,497.22868733506283,512.7394075836589,499.7388563420813
0.004813749999998543,396.1599912031554,400.72261585713915,394.7466910018725,497.3904586553294,512.7821777442222,499.81643484616154
0.004814799999998537,396.22717184899176,400.56487691351316,394.6429585319462,497.55484600770916,512.8150693541795,499.89385945206624
0.004815849999998531,396.28287773782466,400.44295186172167,394.5484626333668,497.7560923503947,512.855241241205,499.9698630482836
0.0048168999999985244,396.3107003071741,400.3387705230514,394.4527336922904,497.9881006995392,512.8836472929901,500.04369553224416
0.004817949999998518,396.2935175322295,400.2339922764108,394.3473096597555,498.2568740084178,512.9056708183002,500.1150093162136
0.004818999999998512,396.24016340737523,400.1141036072249,394.21650541554743,498.5511713108558,512.9256729834974,500.1837956081838
0.004820049999998506,396.1718899644441,399.98438511742546,394.0505257314387,498.8501112884799,512.9462237181611,500.25029369497935
0.0048210999999984995,396.1061478032118,399.9328410077231,393.86494093880935,499.1080468976537,512.956658398339,500.3148785666985
0.004822149999998493,396.04849565528735,399.84286889310226,393.646847129222,499.35773599676827,512.977598449202,500.37804322450916
0.004823199999998487,396.01053124492677,399.74349944767937,393.42177773652804,499.5888193010063,513.0086288276215,500.4403307048331
0.004824249999998481,395.9971080971431,399.66322905154163,393.22221019600164,499.8090152539171,513.0470860205024,500.5022634653611
0.0048252999999984746,396.00442288979843,399.56774171242876,393.0624329130659,500.0387408999418,513.0868352962794,500.5643080098259
0.004826399999998468,396.05362211663703,399.4393218791837,392.9884719152158,500.2896484368232,513.1401955390419,500.62987729006005
0.004827449999998462,396.12268057326804,399.36192469276483,393.0188706036384,500.52471423256964,513.2008167557314,500.69326381844496
0.0048284999999984556,396.17957435745194,399.2938363568058,393.3599964966884,500.7635767083055,513.2636351368918,500.7577252566315
0.004829549999998449,396.21511536416483,399.2186890489453,394.83224506840526,501.00388703510544,513.32767742517,500.8236083493943
0.004830599999998443,396.23376810966914,399.1231953751462,399.17347349464455,501.2248033589168,513.4058885477879,500.8911893274538
0.004831649999998437,396.2189778742735,398.9997031434767,408.19069226710354,501.4310747998078,513.4851781486518,500.960673225295
0.004832699999998431,396.21428232410943,398.88401445303043,421.7898417795732,501.63729508589245,513.5578301993045,501.03200125111266
0.004833749999998424,396.2416939900015,398.77686222732257,436.25877767227803,501.8409633728595,513.6176447407142,501.10510393957
0.004834799999998418,396.30054468671534,398.6629592891867,447.7623969564774,502.0379787982864,513.6594596454904,501.1803177809863
0.004835849999998412,396.3826188788431,398.54351388835164,455.3571304345336,502.22459939941757,513.6658247495641,501.25775352107127
0.004836899999998406,396.46847646867883,398.44037299591076,460.03881995313475,502.41010965774575,513.6671865944786,501.33716675962603
0.004837949999998399,396.52529038238606,398.3375640926294,462.9506786104963,502.58417246697246,513.6648269584389,501.41804888313646
0.004838999999998393,396.55276489598907,398.2353173683899,464.8469251344707,502.7457210018912,513.6628609926375,501.5001145573198
0.004840049999998387,396.56755065274746,398.14703908074955,466.13975980805475,502.89630117264676,513.665428747898,501.5820809050771
0.004841099999998381,396.5849073286064,398.0765769108472,467.0249477726121,502.9968062690074,513.6817810514686,501.6638821177046
0.0048421499999983745,396.61503803349206,397.9579630927464,467.733525453611,503.0946009518035,513.6816771831059,501.7466795259441
0.004843199999998368,396.6576338169621,397.8092801266513,468.37606396204563,503.20405267490855,513.6618611417903,501.830004508059
0.004844249999998362,396.70364841481154,397.63529947990907,468.9826175988897,503.32973160520993,513.6203998113347,501.9133581876105
0.004845299999998356,396.745413544353,397.441307613716,469.55390510105167,503.48192622532866,513.5729803922422,501.9966176043257
0.0048463499999983495,396.7792816293652,397.2473317414618,470.1043930521545,503.6976827711019,513.5214515119253,502.079535736755
0.004847399999998343,396.8142465547372,397.0759037692474,470.6548692411405,503.92838201673555,513.4675856861921,502.16208922606745
0.004848449999998337,396.856559797813,396.9384860414592,471.2124855957326,504.1454803610471,513.4118105896956,502.2443804738646
0.004849499999998331,396.9085265284376,396.8265341861087,471.77438379163937,504.3339922221463,513.3620409482515,502.32654625552397
0.004850549999998325,396.97023914770415,396.7315277280699,472.35178308506687,504.4932012505109,513.3138157724028,502.40887489580996
0.004851599999998318,397.0421949279625,396.6312631730583,472.9312901789956,504.6315328247966,513.2689726939195,502.4916647851538
0.004852649999998312,397.11270650208655,396.5317203959344,473.5016901330067,504.76154909142065,513.237643236107,502.5754580892606
0.004853699999998306,397.1717554281391,396.4511538930341,474.075002291825,504.89114316752614,513.2152937964568,502.6618312371862
0.0048547499999983,397.2167180812604,396.398469496072,474.6494845738295,505.02512738218144,513.1971592920489,502.7508855677747
0.004855799999998293,397.24783919600736,396.34503231176194,475.20015177662583,505.157209589822,513.1779036976499,502.8411577079626
0.004856849999998287,397.26057383414854,396.304464915538,475.7214081592214,505.2699846748198,513.1762128232243,502.9324910452871
0.004857899999998281,397.2669715129001,396.268084019305,476.20256052763835,505.3941218906563,513.1734279277367,503.02560111491385
0.004858949999998275,397.2744244753316,396.2241180441473,476.64994766492265,505.53976606083904,513.1685833657593,503.12107659818315
0.0048599999999982685,397.28204670213665,396.16884609553233,477.0737491093204,505.7052512587749,513.1620433701348,503.21950622812454
0.004861049999998262,397.2861508412335,396.1268095730981,477.5109747588627,505.898608656455,513.1447066581547,503.3219109576203
0.004862099999998256,397.3050392075199,396.1156674581308,477.9211805467614,506.0934292352556,513.1310636176271,503.42911294443223
0.00486314999999825,397.3288277579318,396.11714210982007,478.3010575000566,506.2664814811006,513.1160295236745,503.5405828675581
0.0048641999999982435,397.34549956351293,396.1245733960468,478.6543548650567,506.4135008371904,513.0946330956186,503.6556184306625
0.004865249999998237,397.35382457702735,396.131576265774,478.9879291100055,506.53484476412683,513.0660969260026,503.77311586502015
0.004866299999998231,397.3540588341739,396.1129070501473,479.3370655626228,506.62753706666786,513.0301668862528,503.89197515426304
0.004867349999998225,397.3449559303049,396.06204041920597,479.6808076568141,506.7296636337939,512.9797982213289,504.0105771891092
0.004868449999998218,397.34699397261437,395.98329091191806,480.02704510199936,506.843259897267,512.9195638379898,504.132596794867
0.004869499999998212,397.36800138797486,395.8978503864528,480.34188909271126,506.955465423785,512.8643172284184,504.2460718321395
0.004870549999998206,397.4052477326849,395.81778141978367,480.63753824281395,507.0835457700244,512.8191231950533,504.35631821881805
0.0048715999999982,397.46499953985716,395.744343274306,480.90792234222425,507.20436910857825,512.7776992292214,504.46320726145586
