"Time","Temperature -TS00 Monitor: Temperature -TS00 Monitor (K)","Temperature -TS01 Monitor: Temperature -TS01 Monitor (K)","Temperature -TS02 Monitor: Temperature -TS02 Monitor (K)","Temperature -TS03 Monitor: Temperature -TS03 Monitor (K)","Temperature -TS04 Monitor: Temperature -TS04 Monitor (K)","Temperature -TS05 Monitor: Temperature -TS05 Monitor (K)"
5.0E-8,873.150000173336,873.2518596995543,873.178659603231,873.1526271175676,873.1660814929184,873.1500000000067
1.0999999999999994E-6,873.1501563914154,874.9883566407997,874.0814529305559,873.2040174924481,874.4488932731232,873.1499999999952
2.1499999999999985E-6,873.1512824656375,876.330360719144,875.3642559645348,873.31520644641,875.9066592259317,873.1500000000636
3.1999999999999973E-6,873.1607026591639,877.60991262443,876.1915077084739,873.6516743002196,877.1580899778637,873.1500000001349
4.25E-6,873.1926985115125,878.9856061821417,876.7589403853053,874.3384629765759,878.1638117904105,873.1500000002321
5.300000000000008E-6,873.254799839934,879.9607918654606,877.5372784919269,875.3471457114773,878.771739173395,873.1500000002801
6.3500000000000154E-6,873.3427650726977,880.159506762277,878.0583303631756,876.640339714157,878.0168732061949,873.1500000002799
7.400000000000023E-6,873.4460200826185,881.1625603044708,878.9701351592934,878.0130810685135,877.5048993174321,873.1500000003639
8.450000000000017E-6,873.498156003877,882.5547290225691,880.8062819100072,879.31125248106,877.504600442628,873.1500000004274
9.500000000000007E-6,873.4919164944848,883.7851240391262,882.7383182029821,880.4562594156645,878.2299965796857,873.1500000005085
1.0549999999999997E-5,873.4800035112523,884.3927471996504,884.1112180366631,882.4510289918938,879.8011281837746,873.150000000596
1.1599999999999987E-5,873.5171114182392,884.5392695305235,884.8614140955435,885.2050206819923,882.0153259937631,873.150000000683
1.2649999999999977E-5,873.6387832960959,884.3040679078429,884.611741893334,887.2769518683257,884.2327707090869,873.1500000007417
1.3699999999999967E-5,873.8974515769473,883.8566203254416,883.9250522165765,888.7993627056866,885.9020780300341,873.1500000008016
1.4749999999999957E-5,874.2534525759376,883.551974232235,883.3056485034255,890.2251460783715,887.097434257741,873.1500000008716
