"Radial: Direction [0,100,0] (m)","Radial: Density (kg/m^3)"
0.0,6.529487453317469E-4
7.0E-4,6.527116185639311E-4
0.0014,6.527116185639311E-4
0.0021000000000000003,6.52306379712038E-4
0.0028,6.52306379712038E-4
0.0035,6.511712933614155E-4
0.004200000000000001,6.511712933614155E-4
0.004900000000000001,6.489458093984504E-4
0.0056,6.489458093984504E-4
0.0063,6.489458093984504E-4
0.007,6.488890625537749E-4
0.0077,6.488890625537749E-4
0.008400000000000001,6.488890625537749E-4
0.0091,6.524703623076101E-4
0.009800000000000001,6.524703623076101E-4
0.0105,6.536143549356715E-4
0.0112,6.536143549356715E-4
0.0119,6.536143549356715E-4
0.0126,6.520089426854054E-4
0.013300000000000001,6.520089426854054E-4
0.014,6.541761291965565E-4
0.0147,6.541761291965565E-4
0.0154,6.674544113843616E-4
0.016100000000000003,6.674544113843616E-4
0.016800000000000002,6.674544113843616E-4
0.0175,7.183060295777559E-4
0.0182,7.183060295777559E-4
0.0189,8.605700453190341E-4
0.019600000000000003,8.605700453190341E-4
0.020300000000000002,0.0016493192674605975
