"Radial: Direction [0,100,0] (m)","Radial: Density (kg/m^3)"
0.0,6.364274611629794E-4
7.0E-4,6.361951927858226E-4
0.0014,6.361951927858226E-4
0.0021000000000000003,6.357739021893198E-4
0.0028,6.357739021893198E-4
0.0035,6.348169369875418E-4
0.004200000000000001,6.348169369875418E-4
0.004900000000000001,6.339197371842032E-4
0.0056,6.339197371842032E-4
0.0063,6.339197371842032E-4
0.007,6.343547918609766E-4
0.0077,6.343547918609766E-4
0.008400000000000001,6.343547918609766E-4
0.0091,6.372073323354698E-4
0.009800000000000001,6.372073323354698E-4
0.0105,6.383758163113058E-4
0.0112,6.383758163113058E-4
0.0119,6.383758163113058E-4
0.0126,6.387312398428546E-4
0.013300000000000001,6.387312398428546E-4
0.014,6.414754665330243E-4
0.0147,6.414754665330243E-4
0.0154,6.581596707829275E-4
0.016100000000000003,6.581596707829275E-4
0.016800000000000002,6.581596707829275E-4
0.0175,7.147442410752518E-4
0.0182,7.147442410752518E-4
0.0189,8.652029795729398E-4
0.019600000000000003,8.652029795729398E-4
0.020300000000000002,0.0016609436304430287
