"Radial: Direction [0,1,0] (cm)","Radial: Temperature (K)"
0.0,1793.7584011980678
0.06999999999999999,1793.705767051264
0.13999999999999999,1793.705767051264
0.21000000000000002,1795.0255234288277
0.27999999999999997,1795.0255234288277
0.35,1796.9610525646112
0.42000000000000004,1796.9610525646112
0.49000000000000005,1796.3844475459985
0.5599999999999999,1796.3844475459985
0.63,1796.3844475459985
0.7,1799.6040188995053
0.77,1799.6040188995053
0.8400000000000001,1799.6040188995053
0.91,1804.9669403605767
0.9800000000000001,1804.9669403605767
1.05,1812.2566319135167
1.1199999999999999,1812.2566319135167
1.1900000000000002,1812.2566319135167
1.26,1825.806869779909
1.33,1825.806869779909
1.4,1837.5177143682797
1.47,1837.5177143682797
1.54,1829.2465145037993
1.6100000000000003,1829.2465145037993
1.6800000000000002,1829.2465145037993
1.7500000000000002,1753.199797461344
1.82,1753.199797461344
1.89,1547.853563414456
1.9600000000000002,1547.853563414456
2.0300000000000002,686.0234956286503
