"Radial: Direction [0,100,0] (m)","Radial: Density (kg/m^3)"
0.0,6.566206834655249E-4
7.0E-4,6.561344159742614E-4
0.0014,6.561344159742614E-4
0.0021000000000000003,6.560150538006535E-4
0.0028,6.560150538006535E-4
0.0035,6.552854006472312E-4
0.004200000000000001,6.552854006472312E-4
0.004900000000000001,6.533959032647038E-4
0.0056,6.533959032647038E-4
0.0063,6.533959032647038E-4
0.007,6.531857749653895E-4
0.0077,6.531857749653895E-4
0.008400000000000001,6.531857749653895E-4
0.0091,6.55434327300098E-4
0.009800000000000001,6.55434327300098E-4
0.0105,6.561362115758615E-4
0.0112,6.561362115758615E-4
0.0119,6.561362115758615E-4
0.0126,6.577303314525536E-4
0.013300000000000001,6.577303314525536E-4
0.014,6.594672951558282E-4
0.0147,6.594672951558282E-4
0.0154,6.683973599807698E-4
0.016100000000000003,6.683973599807698E-4
0.016800000000000002,6.683973599807698E-4
0.0175,7.06883273993455E-4
0.0182,7.06883273993455E-4
0.0189,8.319545895885418E-4
0.019600000000000003,8.319545895885418E-4
0.020300000000000002,0.0015976549962616615
