"Radial: Direction [0,100,0] (m)","Radial: Density (kg/m^3)"
0.0,0.043110242278106885
7.0E-4,0.04120987011367378
0.0014,0.04120987011367378
0.0021000000000000003,0.03936273643190841
0.0028,0.03936273643190841
0.0035,0.03630722568298543
0.004200000000000001,0.03630722568298543
0.004900000000000001,0.03131639647736954
0.0056,0.03131639647736954
0.0063,0.03131639647736954
0.007,0.023677353373361236
0.0077,0.023677353373361236
0.008400000000000001,0.023677353373361236
0.0091,0.017024853717448028
0.009800000000000001,0.017024853717448028
0.0105,0.010982462716263271
0.0112,0.010982462716263271
0.0119,0.010982462716263271
0.0126,0.007028295081228935
0.013300000000000001,0.007028295081228935
0.014,0.005055777687646828
0.0147,0.005055777687646828
0.0154,0.0036720069964550155
0.016100000000000003,0.0036720069964550155
0.016800000000000002,0.0036720069964550155
0.0175,0.0029752642348809728
0.0182,0.0029752642348809728
0.0189,0.0026892399964046063
0.019600000000000003,0.0026892399964046063
0.020300000000000002,0.004406574468935981
