"Radial: Direction [0,100,0] (m)","Radial: Density (kg/m^3)"
0.0,0.06073328248877481
7.0E-4,0.05979140056194903
0.0014,0.05979140056194903
0.0021000000000000003,0.05898273650410553
0.0028,0.05898273650410553
0.0035,0.05771554722749469
0.004200000000000001,0.05771554722749469
0.004900000000000001,0.05518421677390205
0.0056,0.05518421677390205
0.0063,0.05518421677390205
0.007,0.050240109418983075
0.0077,0.050240109418983075
0.008400000000000001,0.050240109418983075
0.0091,0.04402723105439337
0.009800000000000001,0.04402723105439337
0.0105,0.035081923842809205
0.0112,0.035081923842809205
0.0119,0.035081923842809205
0.0126,0.02665102519806958
0.013300000000000001,0.02665102519806958
0.014,0.020428118321898777
0.0147,0.020428118321898777
0.0154,0.013787064749402243
0.016100000000000003,0.013787064749402243
0.016800000000000002,0.013787064749402243
0.0175,0.00939124506637175
0.0182,0.00939124506637175
0.0189,0.0070131454099652
0.019600000000000003,0.0070131454099652
0.020300000000000002,0.006513517382944792
