"Radial: Direction [0,1,0] (cm)","Radial: Temperature (K)"
0.0,888.9606169058623
0.06999999999999999,889.1554306685545
0.13999999999999999,889.1554306685545
0.21000000000000002,889.2194741991885
0.27999999999999997,889.2194741991885
0.35,889.7719869891962
0.42000000000000004,889.7719869891962
0.49000000000000005,891.1000730816675
0.5599999999999999,891.1000730816675
0.63,891.1000730816675
0.7,890.9743369081426
0.77,890.9743369081426
0.8400000000000001,890.9743369081426
0.91,886.4708665212484
0.9800000000000001,886.4708665212484
1.05,884.7688677276311
1.1199999999999999,884.7688677276311
1.1900000000000002,884.7688677276311
1.26,884.2246664925987
1.33,884.2246664925987
1.4,882.6059053141018
1.47,882.6059053141018
1.54,879.1940726577799
1.6100000000000003,879.1940726577799
1.6800000000000002,879.1940726577799
1.7500000000000002,854.6048758299604
1.82,854.6048758299604
1.89,759.3270083931762
1.9600000000000002,759.3270083931762
2.0300000000000002,393.8031373379635
