"Radial: Direction [0,1,0] (cm)","Radial: Temperature (K)"
0.0,978.2817645862655
0.06999999999999999,978.400216265768
0.13999999999999999,978.400216265768
0.21000000000000002,979.1199474073886
0.27999999999999997,979.1199474073886
0.35,980.8602149682299
0.42000000000000004,980.8602149682299
0.49000000000000005,982.2934371504873
0.5599999999999999,982.2934371504873
0.63,982.2934371504873
0.7,981.9891768789364
0.77,981.9891768789364
0.8400000000000001,981.9891768789364
0.91,978.1447746905427
0.9800000000000001,978.1447746905427
1.05,976.3624372914242
1.1199999999999999,976.3624372914242
1.1900000000000002,976.3624372914242
1.26,979.9222435731652
1.33,979.9222435731652
1.4,976.8442961387963
1.47,976.8442961387963
1.54,954.6900062248354
1.6100000000000003,954.6900062248354
1.6800000000000002,954.6900062248354
1.7500000000000002,882.908382694635
1.82,882.908382694635
1.89,733.326291055809
1.9600000000000002,733.326291055809
2.0300000000000002,382.0271648183371
