"Radial: Direction [0,100,0] (m)","Radial: Density (kg/m^3)"
0.0,6.059964944436024E-4
7.0E-4,6.057306168669623E-4
0.0014,6.057306168669623E-4
0.0021000000000000003,6.055901054682913E-4
0.0028,6.055901054682913E-4
0.0035,6.061033420198731E-4
0.004200000000000001,6.061033420198731E-4
0.004900000000000001,6.083125559988193E-4
0.0056,6.083125559988193E-4
0.0063,6.083125559988193E-4
0.007,6.104312950337178E-4
0.0077,6.104312950337178E-4
0.008400000000000001,6.104312950337178E-4
0.0091,6.154589521714174E-4
0.009800000000000001,6.154589521714174E-4
0.0105,6.173414006778571E-4
0.0112,6.173414006778571E-4
0.0119,6.173414006778571E-4
0.0126,6.200616913810089E-4
0.013300000000000001,6.200616913810089E-4
0.014,6.266098383369973E-4
0.0147,6.266098383369973E-4
0.0154,6.516015758378787E-4
0.016100000000000003,6.516015758378787E-4
0.016800000000000002,6.516015758378787E-4
0.0175,7.218508346347665E-4
0.0182,7.218508346347665E-4
0.0189,8.930283719227951E-4
0.019600000000000003,8.930283719227951E-4
0.020300000000000002,0.0017065770623920175
