"Radial: Direction [0,100,0] (m)","Radial: Density (kg/m^3)"
0.0,0.05528527374287196
7.0E-4,0.05574697282961265
0.0014,0.05574697282961265
0.0021000000000000003,0.055518762517235136
0.0028,0.055518762517235136
0.0035,0.055154425727279
0.004200000000000001,0.055154425727279
0.004900000000000001,0.05465074258003021
0.0056,0.05465074258003021
0.0063,0.05465074258003021
0.007,0.05176389135297656
0.0077,0.05176389135297656
0.008400000000000001,0.05176389135297656
0.0091,0.04724105543031555
0.009800000000000001,0.04724105543031555
0.0105,0.03976768921071241
0.0112,0.03976768921071241
0.0119,0.03976768921071241
0.0126,0.03190106831325514
0.013300000000000001,0.03190106831325514
0.014,0.025814559528498558
0.0147,0.025814559528498558
0.0154,0.01878743858831156
0.016100000000000003,0.01878743858831156
0.016800000000000002,0.01878743858831156
0.0175,0.012812420653944497
0.0182,0.012812420653944497
0.0189,0.00907931148857493
0.019600000000000003,0.00907931148857493
0.020300000000000002,0.007118502397903719
