"Radial: Direction [0,100,0] (m)","Radial: Density (kg/m^3)"
0.0,6.066401806894916E-4
7.0E-4,6.06051215718126E-4
0.0014,6.06051215718126E-4
0.0021000000000000003,6.059884967790304E-4
0.0028,6.059884967790304E-4
0.0035,6.06533182332358E-4
0.004200000000000001,6.06533182332358E-4
0.004900000000000001,6.074344722637465E-4
0.0056,6.074344722637465E-4
0.0063,6.074344722637465E-4
0.007,6.092818181954111E-4
0.0077,6.092818181954111E-4
0.008400000000000001,6.092818181954111E-4
0.0091,6.134581855878506E-4
0.009800000000000001,6.134581855878506E-4
0.0105,6.148786295081022E-4
0.0112,6.148786295081022E-4
0.0119,6.148786295081022E-4
0.0126,6.180335126900955E-4
0.013300000000000001,6.180335126900955E-4
0.014,6.252618473118306E-4
0.0147,6.252618473118306E-4
0.0154,6.506495959237849E-4
0.016100000000000003,6.506495959237849E-4
0.016800000000000002,6.506495959237849E-4
0.0175,7.221417965236949E-4
0.0182,7.221417965236949E-4
0.0189,8.948662800195388E-4
0.019600000000000003,8.948662800195388E-4
0.020300000000000002,0.0017106265962646108
