"Radial: Direction [0,1,0] (cm)","Radial: Temperature (K)"
0.0,246.79054995466652
0.06999999999999999,248.632694167619
0.13999999999999999,248.632694167619
0.21000000000000002,253.27016009676643
0.27999999999999997,253.27016009676643
0.35,261.91388130633857
0.42000000000000004,261.91388130633857
0.49000000000000005,273.8239268653479
0.5599999999999999,273.8239268653479
0.63,273.8239268653479
0.7,306.64919169471744
0.77,306.64919169471744
0.8400000000000001,306.64919169471744
0.91,360.86045951049294
0.9800000000000001,360.86045951049294
1.05,460.18738023405245
1.1199999999999999,460.18738023405245
1.1900000000000002,460.18738023405245
1.26,650.5838523749336
1.33,650.5838523749336
1.4,902.1383964344724
1.47,902.1383964344724
1.54,1263.6845903774954
1.6100000000000003,1263.6845903774954
1.6800000000000002,1263.6845903774954
1.7500000000000002,1494.0844279048738
1.82,1494.0844279048738
1.89,1513.3106137917437
1.9600000000000002,1513.3106137917437
2.0300000000000002,669.5060623668677
