"Line Probe: Direction [1,0,0] (cm)","Line Probe: Density (kg/m^3)"
234.26986799999997,6.866902166034096E-4
234.51189599999998,6.864635606164254E-4
234.75392399999996,6.860684324472212E-4
234.99595199999996,6.84086542926175E-4
235.23797999999996,6.789301234365948E-4
235.48000799999994,6.74275614453739E-4
235.72203599999997,6.737220977442651E-4
235.96406399999998,6.739247030733881E-4
236.20609199999998,6.743119905029274E-4
236.44811999999996,6.826433294995754E-4
236.69014799999997,6.868070427522767E-4
236.932176,6.871904234864287E-4
237.174204,6.865341354993545E-4
237.41623199999998,6.860363123502242E-4
237.65825999999998,6.843180700826935E-4
237.900288,6.275760889001353E-4
238.14231599999997,6.265611282778238E-4
238.38434399999997,6.253796439908431E-4
238.62637199999995,6.223083845841232E-4
238.86839999999995,6.224490466514725E-4
239.11042799999998,6.375903117858018E-4
239.352456,6.376466777585301E-4
239.594484,6.379468772789127E-4
239.83651199999997,6.394206014777394E-4
240.07853999999998,6.442361238539045E-4
240.32056799999995,6.772562105914172E-4
240.562596,6.804676030846751E-4
240.804624,6.813687652376387E-4
241.046652,6.822422691920518E-4
241.28867999999997,6.840008519681995E-4
241.53070799999998,6.842868130477677E-4
241.77273599999998,6.847329170712003E-4
242.01476399999996,6.853993724877622E-4
242.25679199999996,6.857437681956839E-4
242.49881999999997,6.849121378441416E-4
242.740848,6.564967026000472E-4
242.98287599999998,6.57445900215258E-4
243.22490399999998,6.579993293849649E-4
243.46693199999999,6.572674290590235E-4
243.70895999999996,6.446685419341252E-4
243.950988,6.441158950391549E-4
244.193016,6.428278742249185E-4
244.435044,6.433245132350512E-4
244.67707199999998,6.43640060877769E-4
244.9191,6.511633868996158E-4
245.161128,6.85927848927042E-4
245.40315599999997,6.921112507480592E-4
245.64518399999997,6.911416610499003E-4
245.88721199999995,6.902859740965476E-4
246.12924,6.913004901622795E-4
246.371268,6.908672035806933E-4
246.613296,6.898982479431541E-4
246.855324,6.879765312742246E-4
247.09735199999997,6.868917108942092E-4
247.33937999999998,6.85679752129583E-4
247.581408,6.823831592688022E-4
247.82343600000002,6.808110966937285E-4
248.065464,6.791985659020233E-4
248.307492,6.747813106482678E-4
248.54951999999997,6.715911210610876E-4
248.79154799999998,6.68213111128455E-4
249.03357599999998,6.665253251582566E-4
249.27560399999996,6.662182831720932E-4
258.714696,6.746071729679711E-4
258.956724,6.756913327319711E-4
259.198752,6.765905904240892E-4
259.44077999999996,6.774330111946776E-4
259.68280799999997,6.803407702174173E-4
259.92483599999997,6.811149409108574E-4
260.166864,6.821651087106476E-4
260.408892,6.823603249438952E-4
260.65092,6.818244624167489E-4
260.892948,6.800846379000513E-4
261.134976,6.797181728401705E-4
261.377004,6.790970949535003E-4
261.619032,6.782262214459172E-4
261.86105999999995,6.780245232618764E-4
262.10308799999996,6.762234708951154E-4
262.345116,6.767465955891913E-4
262.587144,6.775142699464174E-4
262.82917199999997,6.784996814302235E-4
263.0712,6.812514910571995E-4
263.313228,6.811468406397641E-4
263.555256,6.811506208782476E-4
263.797284,6.804853119149056E-4
264.03931199999994,6.794746589483894E-4
264.28133999999994,6.756362099314048E-4
264.523368,6.597270421294973E-4
264.76539599999995,6.591982248292702E-4
265.00742399999996,6.589726917037471E-4
265.24945199999996,6.595183316469163E-4
265.49147999999997,6.652174095021934E-4
249.51763199999996,6.663292219641653E-4
249.75965999999997,6.692924551498255E-4
250.00168799999994,6.69909421686562E-4
250.24371599999998,6.703522236429608E-4
250.48574399999998,6.709594749936833E-4
250.727772,6.71326352899781E-4
250.96979999999996,6.720345282236052E-4
251.21182799999997,6.748854862983264E-4
251.45385599999997,6.751031195763191E-4
251.695884,6.751482470688552E-4
251.93791199999998,6.744651331121489E-4
252.17994,6.733751521131689E-4
252.421968,6.685340858724694E-4
252.66399599999997,6.673748867155393E-4
252.90602399999997,6.665754597890917E-4
253.14805199999995,6.658072921193968E-4
253.39007999999995,6.696727829640736E-4
253.63210799999996,6.708730775737721E-4
253.874136,6.714023938213351E-4
254.116164,6.719632826366552E-4
254.35819199999997,6.727809344089068E-4
254.60021999999998,6.4070677700699E-4
254.84224799999996,6.288392501304212E-4
255.08427600000002,6.301979959629362E-4
255.326304,6.333314715331657E-4
255.568332,6.346609809439018E-4
255.81035999999997,6.369691637806213E-4
256.052388,6.867114269065717E-4
256.29441599999996,6.875085517394592E-4
256.53644399999996,6.874662076961287E-4
256.77847199999997,6.860943075643598E-4
257.02049999999997,6.740023671979545E-4
257.262528,6.446925153041383E-4
257.504556,6.403735601535502E-4
257.746584,6.389117232574127E-4
257.988612,6.38020590476339E-4
258.23064,6.674365137354077E-4
258.47266799999994,6.74663293890523E-4
210.551124,6.674404812522295E-4
