"Line Probe: Direction [1,0,0] (cm)","Line Probe: Temperature (K)"
234.26986799999997,951.6916707395166
234.51189599999998,952.1519638538322
234.75392399999996,952.8484658473174
234.99595199999996,956.8428410147653
235.23797999999996,957.9412279227016
235.48000799999994,960.0627835219623
235.72203599999997,961.4614787111842
235.96406399999998,961.6252670920859
236.20609199999998,960.807746881703
236.44811999999996,964.6368594331208
236.69014799999997,965.1143713811571
236.932176,964.5278746328167
237.174204,966.0153056758694
237.41623199999998,971.5343007490272
237.65825999999998,994.501439377371
237.900288,1048.1036369198787
238.14231599999997,1052.139601481381
238.38434399999997,1052.4531396294553
238.62637199999995,1047.3033833259994
238.86839999999995,1031.6714874660333
239.11042799999998,1006.7302857804546
239.352456,1005.7073062549715
239.594484,1005.318171090035
239.83651199999997,991.6806527649047
240.07853999999998,969.1031284072227
240.32056799999995,950.1292758058634
240.562596,943.2884141320849
240.804624,942.9742147696826
241.046652,942.9037356823807
241.28867999999997,942.8633551208665
241.53070799999998,943.2087909089282
241.77273599999998,943.2304567338225
242.01476399999996,944.1970659000131
242.25679199999996,948.154541248718
242.49881999999997,959.6320591238547
242.740848,993.3967833453207
242.98287599999998,996.9679332160797
243.22490399999998,997.577196806228
243.46693199999999,1000.3889063925612
243.70895999999996,1003.0175239067673
243.950988,1006.9902610777882
244.193016,1014.6121634563274
244.435044,1015.6560448353735
244.67707199999998,1015.5064206629656
244.9191,1004.8603827325735
245.161128,981.7956477004824
245.40315599999997,963.0225771544453
245.64518399999997,952.776411528896
245.88721199999995,952.730121794287
246.12924,954.0542903020208
246.371268,950.4134426712257
246.613296,947.7575990993647
246.855324,946.690812456581
247.09735199999997,946.6027904163022
247.33937999999998,946.9909594866716
247.581408,947.4449282175736
247.82343600000002,948.2943974530358
248.065464,948.1680952406905
248.307492,950.1610970036854
248.54951999999997,954.1871567922491
248.79154799999998,959.1088535183852
249.03357599999998,961.686587363706
249.27560399999996,961.7352984052329
258.714696,960.5361195298941
258.956724,955.9400984994885
259.198752,956.2424756810939
259.44077999999996,955.6701544216006
259.68280799999997,943.7086036828799
259.92483599999997,943.2619250536532
260.166864,943.7592806880236
260.408892,943.7949488837054
260.65092,942.8738822982781
260.892948,935.7106762697076
261.134976,934.9383354095909
261.377004,934.7537069980407
261.619032,934.8976627760728
261.86105999999995,936.3047545330206
262.10308799999996,940.6147396313361
262.345116,943.5085683422157
262.587144,943.3565627905488
262.82917199999997,943.3377662609922
263.0712,948.8609535078227
263.313228,951.6273165671885
263.555256,953.2551762242593
263.797284,953.8595816808843
264.03931199999994,954.4758567060492
264.28133999999994,956.1565028191905
264.523368,965.9690369595518
264.76539599999995,969.9362494118469
265.00742399999996,971.4998005099244
265.24945199999996,969.8413914929839
265.49147999999997,964.5203734901074
249.51763199999996,961.3017937018718
249.75965999999997,949.5723751674615
250.00168799999994,945.066730275468
250.24371599999998,943.7143480653011
250.48574399999998,943.9821429384772
250.727772,944.1898782323306
250.96979999999996,944.8072096140627
251.21182799999997,947.698054113627
251.45385599999997,947.6687415854765
251.695884,947.4866242155235
251.93791199999998,947.8667297043218
252.17994,950.2526754024011
252.421968,961.7564709146246
252.66399599999997,968.1523285996178
252.90602399999997,970.6521708685444
253.14805199999995,972.382915695127
253.39007999999995,965.6090264408139
253.63210799999996,962.0684466712762
253.874136,958.1289357471439
254.116164,958.4694559887668
254.35819199999997,959.5262765559997
254.60021999999998,979.0204606082107
254.84224799999996,997.0596578059843
255.08427600000002,1011.1306601329351
255.326304,1016.7092707094018
255.568332,1016.2887315102074
255.81035999999997,1011.3432436261081
256.052388,968.0546923208328
