"Line Probe: Direction [1,0,0] (cm)","Line Probe: Absolute Pressure (Pa)"
234.26986799999997,1674.0453128264344
234.51189599999998,1673.8655008269852
234.75392399999996,1674.1214719495329
234.99595199999996,1675.7840181806969
235.23797999999996,1676.8205103281944
235.48000799999994,1677.826562732138
235.72203599999997,1678.5723965254874
235.96406399999998,1678.3825521904073
236.20609199999998,1677.6946959054476
236.44811999999996,1674.1923536315298
236.69014799999997,1671.4492730338534
236.932176,1668.3436184314778
237.174204,1663.1718918195984
237.41623199999998,1661.4002497745678
237.65825999999998,1659.820075716445
237.900288,1658.2384003283805
238.14231599999997,1657.9219646326965
238.38434399999997,1657.7757041961158
238.62637199999995,1657.4944578312425
238.86839999999995,1657.3431541218888
239.11042799999998,1657.5401290885056
239.352456,1658.13742915506
239.594484,1659.0913742160046
239.83651199999997,1663.4974256213172
240.07853999999998,1666.9620458147983
240.32056799999995,1671.7881742045138
240.562596,1681.8426807816722
240.804624,1685.9466683447536
241.046652,1689.8398135718162
241.28867999999997,1695.667761325778
241.53070799999998,1697.6687055137736
241.77273599999998,1699.0400145167368
242.01476399999996,1699.5686859346897
242.25679199999996,1698.6461984640919
242.49881999999997,1696.8493911691767
242.740848,1691.8587103013851
242.98287599999998,1689.0082792409812
243.22490399999998,1686.3519875110214
243.46693199999999,1680.3863900435244
243.70895999999996,1677.962359308789
243.950988,1675.985437559255
244.193016,1673.3436410161376
244.435044,1672.9439240210922
244.67707199999998,1672.9643128684838
244.9191,1673.856931843664
245.161128,1675.000213507301
245.40315599999997,1676.0665231916792
245.64518399999997,1677.7555277686188
245.88721199999995,1678.3812190642639
246.12924,1679.5443773976294
246.371268,1680.4533878304792
246.613296,1681.5542698027712
246.855324,1684.043618527503
247.09735199999997,1685.4633826538775
247.33937999999998,1686.8529678721243
247.581408,1689.6069392796635
247.82343600000002,1691.1061433756113
248.065464,1692.8261483918322
248.307492,1697.3635846665711
248.54951999999997,1699.615967767546
248.79154799999998,1702.0332239325653
249.03357599999998,1708.4361792225682
249.27560399999996,1711.532070640853
258.714696,1702.303017306709
258.956724,1703.8438137839403
259.198752,1704.7323556967895
259.44077999999996,1705.3964562487527
259.68280799999997,1706.117541509113
259.92483599999997,1706.0001348031074
260.166864,1705.137420378378
260.408892,1704.3720658611855
260.65092,1703.203012617887
260.892948,1699.5584040515387
261.134976,1697.0735752393375
261.377004,1693.2117988132668
261.619032,1685.6233481565578
261.86105999999995,1682.249134382946
262.10308799999996,1679.3647670656646
262.345116,1676.6266675739316
262.587144,1676.3516629480437
262.82917199999997,1676.7008086682617
263.0712,1678.367906241314
263.313228,1679.2802812476584
263.555256,1680.273807220743
263.797284,1681.2619352963957
264.03931199999994,1681.3274250458198
264.28133999999994,1681.1981743173237
264.523368,1679.7329085892707
264.76539599999995,1678.286128607142
265.00742399999996,1676.5732273045141
265.24945199999996,1672.2659001966385
265.49147999999997,1670.2969924195786
249.51763199999996,1714.4590273814247
249.75965999999997,1719.7044591741724
250.00168799999994,1721.942570973115
250.24371599999998,1724.635147148234
250.48574399999998,1729.1620708496775
250.727772,1730.5941870680545
250.96979999999996,1731.2071884373727
251.21182799999997,1731.379950045317
251.45385599999997,1731.3497528806474
251.695884,1731.1856291751174
251.93791199999998,1730.0873610530107
252.17994,1728.9840894513472
252.421968,1727.512725950277
252.66399599999997,1724.012653892365
252.90602399999997,1722.0174686538958
253.14805199999995,1718.3924026281893
253.39007999999995,1716.6884532188997
253.63210799999996,1715.0915935594967
253.874136,1711.8524815292913
254.116164,1710.2345218474802
254.35819199999997,1708.6398510422441
254.60021999999998,1704.8680605599511
254.84224799999996,1702.962436189613
255.08427600000002,1701.0452413877065
255.326304,1698.3297420127637
255.568332,1697.4975226178358
255.81035999999997,1696.9886000763508
256.052388,1697.4814135702763
256.29441599999996,1698.11938796888
256.53644399999996,1698.8382192334393
256.77847199999997,1699.833303673091
257.02049999999997,1700.2314418414753
257.262528,1700.4187286015222
257.504556,1700.5348064327118
257.746584,1700.5903487462638
257.988612,1700.7465557633404
258.23064,1701.234750623713
258.47266799999994,1701.7041537538462
210.551124,1674.1877142760495
210.79315199999996,1676.0291974322754
211.03517999999997,1679.8800349600933
211.277208,1681.3972534796048
211.519236,1683.30971945278
211.76126399999998,1685.4925757033343
212.003292,1685.9843599077576
212.24531999999996,1686.129511838939
212.48734799999997,1685.856527044365
212.72937599999997,1685.512472497372
