"Line Probe: Direction [1,0,0] (cm)","Line Probe: Density (kg/m^3)"
234.26986799999997,6.846772492420354E-4
234.51189599999998,6.848226386813255E-4
234.75392399999996,6.849971290630502E-4
234.99595199999996,6.856852671849387E-4
235.23797999999996,6.835500418840687E-4
235.48000799999994,6.745986279981755E-4
235.72203599999997,6.755609564158965E-4
235.96406399999998,6.760878897567097E-4
236.20609199999998,6.765159072752156E-4
236.44811999999996,6.871112824165961E-4
236.69014799999997,6.896441653608503E-4
236.932176,6.896364370189776E-4
237.174204,6.894744525101504E-4
237.41623199999998,6.893688923512379E-4
237.65825999999998,6.893151436746076E-4
237.900288,6.880659580589711E-4
238.14231599999997,6.878945008494475E-4
238.38434399999997,6.876347191137885E-4
238.62637199999995,6.867538630153776E-4
238.86839999999995,6.864171341772762E-4
239.11042799999998,6.866889430263237E-4
239.352456,6.865569720161644E-4
239.594484,6.865221163695074E-4
239.83651199999997,6.868141380541333E-4
240.07853999999998,6.872985132227009E-4
240.32056799999995,6.887085686685481E-4
240.562596,6.903806017849941E-4
240.804624,6.910894133899644E-4
241.046652,6.917453811739174E-4
241.28867999999997,6.927180935907083E-4
241.53070799999998,6.928985845339977E-4
241.77273599999998,6.929391633507165E-4
242.01476399999996,6.923005206289593E-4
242.25679199999996,6.914640960714461E-4
242.49881999999997,6.902045218665738E-4
242.740848,6.860648406229829E-4
242.98287599999998,6.842300642238298E-4
243.22490399999998,6.829512458926096E-4
243.46693199999999,6.816804847632628E-4
243.70895999999996,6.814881025765937E-4
243.950988,6.812067583479112E-4
244.193016,6.819750221918055E-4
244.435044,6.826943521872651E-4
244.67707199999998,6.835136625750804E-4
244.9191,6.845636321012534E-4
245.161128,6.852094199673248E-4
245.40315599999997,6.853585285080607E-4
245.64518399999997,6.852025659693796E-4
245.88721199999995,6.848755848857229E-4
246.12924,6.844489272537575E-4
246.371268,6.840591548536143E-4
246.613296,6.836486252790752E-4
246.855324,6.831871513514139E-4
247.09735199999997,6.831544242127283E-4
247.33937999999998,6.832574648308656E-4
247.581408,6.847490557054826E-4
247.82343600000002,6.862442828521318E-4
248.065464,6.883636530288672E-4
248.307492,6.937620683466843E-4
248.54951999999997,6.953970742893229E-4
248.79154799999998,6.958451835310049E-4
249.03357599999998,6.964793274122431E-4
249.27560399999996,6.951290647781955E-4
258.714696,6.883313529008338E-4
258.956724,6.880849626976588E-4
259.198752,6.878967933908694E-4
259.44077999999996,6.877269975904464E-4
259.68280799999997,6.871725621578851E-4
259.92483599999997,6.870632838767945E-4
260.166864,6.868399155041562E-4
260.408892,6.867238130591396E-4
260.65092,6.865913962171749E-4
260.892948,6.862376426618481E-4
261.134976,6.861386090865462E-4
261.377004,6.860709532078133E-4
261.619032,6.860728208145517E-4
261.86105999999995,6.861286205415211E-4
262.10308799999996,6.859871675210363E-4
262.345116,6.866399288578681E-4
262.587144,6.873213986626188E-4
262.82917199999997,6.8827846033875E-4
263.0712,6.904505637540899E-4
263.313228,6.911351174050686E-4
263.555256,6.916107582866871E-4
263.797284,6.915206180966929E-4
264.03931199999994,6.911082965463567E-4
264.28133999999994,6.889813436512962E-4
264.523368,6.721683751009828E-4
264.76539599999995,6.717945274523045E-4
265.00742399999996,6.715336161564476E-4
265.24945199999996,6.715404678798492E-4
265.49147999999997,6.727871115884855E-4
249.51763199999996,6.930712895122783E-4
249.75965999999997,6.901491904830131E-4
250.00168799999994,6.887404248287895E-4
250.24371599999998,6.870092339162159E-4
250.48574399999998,6.846681376134582E-4
250.727772,6.844658434389289E-4
250.96979999999996,6.846980938139453E-4
251.21182799999997,6.859085331800407E-4
251.45385599999997,6.876615501342901E-4
251.695884,6.900003418696741E-4
251.93791199999998,6.939434633039635E-4
252.17994,6.952155985025974E-4
252.421968,6.966359301319057E-4
252.66399599999997,6.969155279411198E-4
252.90602399999997,6.966445908433526E-4
253.14805199999995,6.951970464911305E-4
253.39007999999995,6.944976656846091E-4
253.63210799999996,6.937440196735675E-4
253.874136,6.919766873184545E-4
254.116164,6.911451794458369E-4
254.35819199999997,6.904324344965633E-4
254.60021999999998,6.883325442168996E-4
254.84224799999996,6.877457015274879E-4
255.08427600000002,6.872848882365813E-4
255.326304,6.860116305171051E-4
255.568332,6.852198342911913E-4
255.81035999999997,6.841775773893898E-4
256.052388,6.833822076855216E-4
256.29441599999996,6.830172415084542E-4
256.53644399999996,6.829130982888916E-4
256.77847199999997,6.83232497262406E-4
257.02049999999997,6.839829751464308E-4
257.262528,6.85515190093842E-4
257.504556,6.872394668844006E-4
257.746584,6.878276356063542E-4
257.988612,6.88129994315758E-4
258.23064,6.883789129825492E-4
258.47266799999994,6.883610406630771E-4
210.551124,6.856333431459409E-4
210.79315199999996,6.854687418742126E-4
211.03517999999997,6.841371887130196E-4
211.277208,6.839897142332504E-4
211.519236,6.839030719409951E-4
211.76126399999998,6.839027748742417E-4
212.003292,6.839946098372309E-4
212.24531999999996,6.841925572468868E-4
212.48734799999997,6.856459097887378E-4
212.72937599999997,6.858917905203585E-4
212.97140399999995,6.860570970502646E-4
213.213432,6.861128402368343E-4
213.45546,6.862251627383764E-4
213.697488,6.865044539632341E-4
213.93951599999997,6.861735878034915E-4
214.18154399999997,6.86058422179696E-4
214.42357199999998,6.859904543543223E-4
214.6656,6.86382409113633E-4
214.907628,6.864490591358726E-4
215.149656,6.865231333256389E-4
215.391684,6.866533582516129E-4
215.63371199999997,6.867175060833149E-4
215.87573999999998,6.867654065851859E-4
216.11776799999998,6.867012793588096E-4
216.35979599999996,6.867182116322769E-4
216.60182399999997,6.867146359519266E-4
216.84385199999994,6.867450512016034E-4
217.08588,6.867888364336114E-4
217.32790799999998,6.869469373229726E-4
217.56993599999998,6.8690412803467E-4
217.811964,6.867943878174934E-4
203.53231199999996,6.859892642894065E-4
203.77434,6.860839446350814E-4
204.016368,6.852743541246569E-4
204.258396,6.852922942398232E-4
204.50042399999998,6.852890932920066E-4
204.742452,6.852658376990016E-4
204.98447999999996,6.853475695859179E-4
205.22650799999997,6.860939157774753E-4
205.46853599999997,6.859858322530976E-4
205.71056399999995,6.859359232773378E-4
205.952592,6.85906074493659E-4
206.19462,6.859651718622509E-4
206.436648,6.859839492187418E-4
206.67867599999997,6.85982042082725E-4
206.92070399999997,6.859871500099661E-4
207.16273199999998,6.859938526956186E-4
207.40476,6.85838547709224E-4
207.646788,6.845250978139846E-4
207.888816,6.845437590303154E-4
208.130844,6.845733845988513E-4
208.37287199999997,6.846897297693113E-4
208.61489999999998,6.847560611404936E-4
208.85692799999998,6.860215270165248E-4
209.09895599999996,6.862855855307486E-4
209.34098399999996,6.863920550941141E-4
209.583012,6.864742908147617E-4
209.82504,6.864246103073212E-4
210.06706799999998,6.857874596283682E-4
210.30909599999998,6.857728153906809E-4
218.05399199999997,6.865091995314757E-4
218.29601999999997,6.861932896220038E-4
218.538048,6.850968748542776E-4
218.780076,6.849206863111735E-4
219.02210399999998,6.848564023319237E-4
219.264132,6.847802289736856E-4
