"Line Probe: Direction [1,0,0] (cm)","Line Probe: Density (kg/m^3)"
234.26986799999997,6.726520920721801E-4
234.51189599999998,6.73037918430853E-4
234.75392399999996,6.73453581211847E-4
234.99595199999996,6.721628854853473E-4
235.23797999999996,6.694749524482358E-4
235.48000799999994,6.684780240752204E-4
235.72203599999997,6.676846160840371E-4
235.96406399999998,6.673848073740316E-4
236.20609199999998,6.672731761126358E-4
236.44811999999996,6.711024175257683E-4
236.69014799999997,6.725324478032041E-4
236.932176,6.723156077953656E-4
237.174204,6.710042336082552E-4
237.41623199999998,6.697705634503858E-4
237.65825999999998,6.600521974452101E-4
237.900288,6.188445132031006E-4
238.14231599999997,6.174017209045504E-4
238.38434399999997,6.175969526004646E-4
238.62637199999995,6.189101952388928E-4
238.86839999999995,6.242683912119663E-4
239.11042799999998,6.35476188348677E-4
239.352456,6.354660209500606E-4
239.594484,6.352717601937559E-4
239.83651199999997,6.381948204721206E-4
240.07853999999998,6.523539180718975E-4
240.32056799999995,6.714139681205687E-4
240.562596,6.72982611534264E-4
240.804624,6.725439038224174E-4
241.046652,6.72081880161394E-4
241.28867999999997,6.729578701314E-4
241.53070799999998,6.729481478305994E-4
241.77273599999998,6.728426217586684E-4
242.01476399999996,6.730561561198979E-4
242.25679199999996,6.722519043579614E-4
242.49881999999997,6.677739263162379E-4
242.740848,6.420017047838252E-4
242.98287599999998,6.414739981729621E-4
243.22490399999998,6.419332403001219E-4
243.46693199999999,6.414956525336327E-4
243.70895999999996,6.374732425476539E-4
243.950988,6.355742882221176E-4
244.193016,6.320355628461809E-4
244.435044,6.322867314358664E-4
244.67707199999998,6.324297537891515E-4
244.9191,6.381186107050123E-4
245.161128,6.560461109167107E-4
245.40315599999997,6.708886406003548E-4
245.64518399999997,6.73126221945984E-4
245.88721199999995,6.722827396937334E-4
246.12924,6.735562210590465E-4
246.371268,6.763587842552394E-4
246.613296,6.772362369302044E-4
246.855324,6.776634578686804E-4
247.09735199999997,6.782032671446007E-4
247.33937999999998,6.786932481541515E-4
247.581408,6.754518983299767E-4
247.82343600000002,6.760285891609441E-4
248.065464,6.768651365212348E-4
