"Line Probe: Direction [1,0,0] (cm)","Line Probe: Density (kg/m^3)"
234.26986799999997,6.30578504810134E-4
234.51189599999998,6.300299975346438E-4
234.75392399999996,6.29233111211605E-4
234.99595199999996,6.274416192146825E-4
235.23797999999996,6.263821294922477E-4
235.48000799999994,6.243797483441553E-4
235.72203599999997,6.239254517487309E-4
235.96406399999998,6.244733048724259E-4
236.20609199999998,6.251738387377403E-4
236.44811999999996,6.207561475134174E-4
236.69014799999997,6.201122813741324E-4
236.932176,6.203420194385078E-4
237.174204,6.167441668268433E-4
237.41623199999998,6.098487025607622E-4
237.65825999999998,5.943422236160912E-4
237.900288,5.7244925303963E-4
238.14231599999997,5.696347908531876E-4
238.38434399999997,5.691482271519402E-4
238.62637199999995,5.740546560591531E-4
238.86839999999995,5.818943444059579E-4
239.11042799999998,5.940277493929311E-4
239.352456,5.943786296367095E-4
239.594484,5.944531842216987E-4
239.83651199999997,6.032867793437607E-4
240.07853999999998,6.141528698778449E-4
240.32056799999995,6.241588180461735E-4
240.562596,6.279882818455031E-4
240.804624,6.279208110712317E-4
241.046652,6.27684008793436E-4
241.28867999999997,6.195815015943892E-4
241.53070799999998,6.190687301855984E-4
241.77273599999998,6.189024402735913E-4
242.01476399999996,6.173909669582303E-4
242.25679199999996,6.138426767261644E-4
242.49881999999997,6.066165016981735E-4
242.740848,5.909704409496503E-4
242.98287599999998,5.87899858320219E-4
243.22490399999998,5.870589379075866E-4
243.46693199999999,5.855595265970366E-4
243.70895999999996,5.843280076625625E-4
243.950988,5.844702008476251E-4
244.193016,5.808277898565446E-4
244.435044,5.805126778464843E-4
244.67707199999998,5.813350681077422E-4
244.9191,5.91076597303797E-4
245.161128,6.134636562367966E-4
245.40315599999997,6.267172425314598E-4
245.64518399999997,6.367613309062912E-4
245.88721199999995,6.377004215933058E-4
246.12924,6.287135493668323E-4
246.371268,6.260193059986088E-4
246.613296,6.270791149355421E-4
246.855324,6.283545591438309E-4
247.09735199999997,6.284051380380973E-4
247.33937999999998,6.287768072449586E-4
247.581408,6.327081013663808E-4
247.82343600000002,6.32125195002101E-4
248.065464,6.317075744529021E-4
248.307492,6.286101228624602E-4
248.54951999999997,6.247992992402582E-4
248.79154799999998,6.203330018154444E-4
249.03357599999998,6.157681107916089E-4
249.27560399999996,6.150651255317852E-4
258.714696,6.064724053388498E-4
258.956724,6.196360749232166E-4
259.198752,6.207091671881221E-4
259.44077999999996,6.201270206211341E-4
259.68280799999997,6.132571365319911E-4
259.92483599999997,6.133969595715175E-4
260.166864,6.145848013626515E-4
260.408892,6.142740838549855E-4
260.65092,6.148704171366463E-4
260.892948,6.261889452964924E-4
261.134976,6.309810628900136E-4
261.377004,6.329554990694897E-4
261.619032,6.329982448839304E-4
261.86105999999995,6.328698923069949E-4
262.10308799999996,6.335622823843466E-4
262.345116,6.299536293324269E-4
262.587144,6.283990937512713E-4
262.82917199999997,6.278626590371059E-4
263.0712,6.25560224177717E-4
263.313228,6.220742800383138E-4
263.555256,6.170698705928615E-4
263.797284,6.112286922716328E-4
264.03931199999994,6.10458517417034E-4
264.28133999999994,6.100283944617488E-4
264.523368,6.086035198197697E-4
264.76539599999995,6.072920474364777E-4
265.00742399999996,6.0531037499732E-4
265.24945199999996,6.017956016131107E-4
265.49147999999997,6.014260454321113E-4
249.51763199999996,6.150216610878931E-4
249.75965999999997,6.198329083785834E-4
250.00168799999994,6.225307980896038E-4
250.24371599999998,6.244189478187314E-4
250.48574399999998,6.246718172086077E-4
250.727772,6.245196102631242E-4
250.96979999999996,6.240490884891249E-4
251.21182799999997,6.211886495897568E-4
251.45385599999997,6.211999989228811E-4
251.695884,6.215011002072332E-4
251.93791199999998,6.211618299745565E-4
252.17994,6.189432643135302E-4
252.421968,6.16065293458379E-4
252.66399599999997,6.073334647883577E-4
252.90602399999997,6.047210109514318E-4
253.14805199999995,6.029618855559793E-4
253.39007999999995,6.047239922675912E-4
253.63210799999996,6.098084949520238E-4
253.874136,6.164782439952812E-4
254.116164,6.171933200390682E-4
254.35819199999997,6.16831759705942E-4
254.60021999999998,6.08503694006824E-4
254.84224799999996,5.980717388850324E-4
255.08427600000002,5.888708104075269E-4
255.326304,5.815052834323611E-4
255.568332,5.811436992489193E-4
255.81035999999997,5.823075552773161E-4
256.052388,5.971327529879564E-4
256.29441599999996,6.06583561571266E-4
256.53644399999996,6.125722960159624E-4
256.77847199999997,6.143794871245761E-4
257.02049999999997,6.130099618033333E-4
257.262528,6.084286291935126E-4
257.504556,5.915181332260796E-4
257.746584,5.864283444166635E-4
257.988612,5.85448383124378E-4
258.23064,5.903614554723534E-4
258.47266799999994,5.974734535059812E-4
210.551124,6.284312020870922E-4
210.79315199999996,6.296210919437069E-4
211.03517999999997,6.292810485944292E-4
211.277208,6.294597318912672E-4
211.519236,6.292319468174308E-4
211.76126399999998,6.292120529580071E-4
212.003292,6.309813877713496E-4
212.24531999999996,6.342210684302754E-4
212.48734799999997,6.374259949228803E-4
212.72937599999997,6.370642809940749E-4
212.97140399999995,6.362346372029344E-4
213.213432,6.319728194204212E-4
213.45546,6.291763454008508E-4
213.697488,6.270110487666063E-4
213.93951599999997,6.250550377302919E-4
214.18154399999997,6.235247610344088E-4
214.42357199999998,6.217298490322256E-4
214.6656,6.1812468648894E-4
214.907628,6.175964746244713E-4
215.149656,6.174252413001383E-4
215.391684,6.173207174406016E-4
215.63371199999997,6.168196590601336E-4
215.87573999999998,6.164042288533375E-4
216.11776799999998,6.192946563464084E-4
216.35979599999996,6.194824704983147E-4
216.60182399999997,6.196744006810509E-4
216.84385199999994,6.172945063508906E-4
217.08588,6.143251092133469E-4
217.32790799999998,6.141156206489073E-4
217.56993599999998,6.141607528856882E-4
217.811964,6.142341723702736E-4
203.53231199999996,0.0012979943425883548
203.77434,0.0012456437874674591
204.016368,6.534281811868843E-4
204.258396,6.381760035799461E-4
204.50042399999998,6.384939538207627E-4
204.742452,6.408280176960564E-4
204.98447999999996,6.410580291648326E-4
205.22650799999997,6.424337814254404E-4
205.46853599999997,6.427647200867427E-4
205.71056399999995,6.412663557308038E-4
205.952592,6.369261872851401E-4
206.19462,6.256790791038495E-4
206.436648,6.251437558445058E-4
206.67867599999997,6.253394264425696E-4
206.92070399999997,6.272607578462957E-4
207.16273199999998,6.310158061935293E-4
207.40476,6.340879798763916E-4
207.646788,6.358475450694451E-4
207.888816,6.363838094805645E-4
208.130844,6.368379267320515E-4
208.37287199999997,6.342446297363001E-4
208.61489999999998,6.308754734423827E-4
