"Line Probe: Direction [1,0,0] (cm)","Line Probe: Density (kg/m^3)"
234.26986799999997,5.941190800464604E-4
234.51189599999998,5.942595647446158E-4
234.75392399999996,5.940849808714274E-4
234.99595199999996,5.926355491889367E-4
235.23797999999996,5.884817892730055E-4
235.48000799999994,5.832437905054232E-4
235.72203599999997,5.818305834808754E-4
235.96406399999998,5.819175848090375E-4
236.20609199999998,5.820557697584862E-4
236.44811999999996,5.823380990454385E-4
236.69014799999997,5.818790154857086E-4
236.932176,5.814326638653165E-4
237.174204,5.772779664095066E-4
237.41623199999998,5.717206863684221E-4
237.65825999999998,5.613379114342262E-4
237.900288,5.483314789623737E-4
238.14231599999997,5.448857964124306E-4
238.38434399999997,5.442804284698816E-4
238.62637199999995,5.489110534288494E-4
238.86839999999995,5.547828831712549E-4
239.11042799999998,5.625815754230814E-4
239.352456,5.650029843955698E-4
239.594484,5.661086699551725E-4
239.83651199999997,5.718547098207089E-4
240.07853999999998,5.78097769088895E-4
240.32056799999995,5.882392896964595E-4
240.562596,5.946218341900461E-4
240.804624,5.952564373889218E-4
241.046652,5.951668597629658E-4
241.28867999999997,5.907374427265669E-4
241.53070799999998,5.884583611122537E-4
241.77273599999998,5.881040101602574E-4
242.01476399999996,5.873657327204692E-4
242.25679199999996,5.852349184090944E-4
242.49881999999997,5.809013039648334E-4
242.740848,5.661480689020637E-4
242.98287599999998,5.61104804522496E-4
243.22490399999998,5.587552653381619E-4
243.46693199999999,5.57088435870322E-4
243.70895999999996,5.578605529889638E-4
243.950988,5.595243762015691E-4
244.193016,5.604812110955583E-4
244.435044,5.594557176034623E-4
244.67707199999998,5.595975188260078E-4
244.9191,5.646514848650576E-4
245.161128,5.741600573351723E-4
245.40315599999997,5.850531827650165E-4
245.64518399999997,6.012366050584382E-4
245.88721199999995,6.034555949205903E-4
246.12924,6.053870630642373E-4
246.371268,6.0484268763711E-4
246.613296,6.019065865469093E-4
246.855324,6.001959948435097E-4
247.09735199999997,5.999250953881754E-4
247.33937999999998,5.995151256297306E-4
247.581408,5.94136996506379E-4
247.82343600000002,5.93331939204925E-4
248.065464,5.928592370844627E-4
248.307492,5.910547438750571E-4
248.54951999999997,5.88937440999091E-4
248.79154799999998,5.852113931571565E-4
